id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,diagnostico
1,C0001,CE,82826473,Óscar,Mendoza Chávez,óscar1@correo.com,915648318,San Borja,Paciente particular,2026-05-11,Hipertensión arterial
2,C0002,DNI,35887318,Álvaro,Flores Salazar,álvaro2@correo.com,920367073,Miraflores,Paciente EPS,2026-05-09,Diabetes mellitus tipo 2
3,C0003,DNI,73711717,Karla,Espinoza Villanueva,,979226196,Chorrillos,Paciente asegurado,2026-02-13,Infección respiratoria aguda
4,C0004,DNI,19550501,Álvaro,Salazar Flores,álvaro4@correo.com,,Comas,Programa preventivo,2026-02-08,Gastritis
5,C0005,CE,28013063,Verónica,Salazar Mendoza,verónica5@correo.com,920710997,Villa El Salvador,Paciente particular,2026-01-24,Lumbalgia
6,C0006,DNI,68806833,Óscar,Flores Cárdenas,óscar6@correo.com,969199343,Miraflores,Paciente EPS,2026-04-20,Migraña
7,C0007,DNI,25730522,Bruno,Vargas Ríos,bruno7correo.com,942896070,Villa El Salvador,Paciente asegurado,2026-04-04,Dermatitis alérgica
8,C0008,DNI,47471436,Manuel,Vargas Bautista,manuel8@correo.com,938104159,Independencia,Programa preventivo,2026-05-20,Anemia ferropénica
9,C0009,CE,27346640,Carmen,Zevallos Ponce,carmen9correo.com,983540619,Comas,Paciente particular,2026-03-22,Asma bronquial
10,C0010,RUC,32029320,Luis,Salazar Cruz,luis10@correo.com,987734895,Ate,Paciente EPS,2026-04-15,Dislipidemia
11,C0011,CE,78029470,Karla,Ríos Gutiérrez,karla11@correo.com,968666393,Comas,Paciente asegurado,2026-02-13,Artrosis de rodilla
12,C0012,RUC,34192727,Daniela,Huamán Rojas,daniela12@correo.com,983956129,San Miguel,Programa preventivo,2026-03-16,Infección urinaria
13,C0013,DNI,25737298,Fernando,Ponce Díaz,fernando13@correo.com,934920188,Los Olivos,Paciente particular,2026-02-12,Hipertensión arterial
14,C0014,DNI,89462453,Karla,Cornejo Zevallos,karla14@correo.com,931064067,Ate,Paciente EPS,2026-02-19,Diabetes mellitus tipo 2
15,C0015,DNI,68964379,Karla,Mendoza Ponce,karla15@correo.com,915943902,Lince,Paciente asegurado,2026-05-03,Infección respiratoria aguda
