id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,saldo_cuenta
1,C0001,RUC,79445224,María,Huamán Aguirre,maría1@correo.com,957089377,Los Olivos,Banca personal,2026-03-07,13099.69
2,C0002,CE,73432294,Rosa,Rivera Chávez,rosa2@correo.com,952019261,Independencia,Banca preferente,2026-02-20,21025.77
3,C0003,DNI,76548137,Andrés,Vargas Quispe,andrés3@correo.com,947605318,San Juan de Lurigancho,Microempresa,2026-05-20,10142.43
4,C0004,DNI,14636974,Natalia,Salazar Gutiérrez,natalia4@correo.com,937594274,Rímac,Pyme,2026-03-18,11315.95
5,C0005,DNI,76571824,Elena,Villanueva Flores,elena5@correo.com,973182172,Miraflores,Banca personal,2026-04-21,2440.61
6,C0006,CE,72088698,Víctor,Sánchez Díaz,víctor6@correo.com,927010413,Ate,Banca preferente,2026-03-15,38801.72
7,C0007,CE,12044205,Lucía,Ramos Paredes,lucía7@correo.com,920090392,Comas,Microempresa,2026-05-06,2106.79
8,C0008,DNI,63186535,Óscar,Mendoza Vargas,óscar8@correo.com,914072928,Breña,Pyme,2026-03-11,16773.99
9,C0009,DNI,49052214,Álvaro,Villanueva Bautista,álvaro9@correo.com,930812292,Callao,Banca personal,2026-05-17,40650.96
10,C0010,RUC,48310916,Karla,Cruz Rivera,karla10@correo.com,,Rímac,Banca preferente,2026-02-23,15250.33
11,C0011,RUC,79615572,Gabriela,Rojas Villanueva,gabriela11@correo.com,944909802,La Molina,Microempresa,2026-04-02,44514.88
12,C0012,DNI,76645467,Verónica,Castillo Ríos,verónica12@correo.com,960521721,San Borja,Pyme,2026-04-25,26438.78
13,C0013,RUC,41206382,Paola,Mendoza Ríos,paola13correo.com,970483123,La Molina,Banca personal,2026-02-15,8264.52
14,C0014,RUC,92758992,Álvaro,Zevallos Cárdenas,álvaro14@correo.com,952539845,Callao,Banca preferente,2026-02-06,30053.34
15,C0015,DNI,34880173,Ricardo,Ramos Mendoza,ricardo15@correo.com,928789315,Surco,Microempresa,2026-03-14,44030.43
16,C0016,CE,91814604,Rosa,Ninaquispe Díaz,,960048041,Callao,Pyme,2026-02-18,16725.75
17,C0017,DNI,13556568,Raúl,Mendoza Paredes,raúl17@correo.com,929772533,Los Olivos,Banca personal,2026-04-28,40087.26
18,C0018,DNI,437251,Pedro,Chávez Salazar,pedro18@correo.com,944195755,Chorrillos,Banca preferente,2026-04-15,4939.74
19,C0019,DNI,35708911,Ana,Salazar Salazar,ana19@correo.com,947311459,La Molina,Microempresa,2026-05-22,18594.52
20,C0020,CE,79903352,Luis,Ramos Bautista,luis20@correo.com,995244112,Miraflores,Pyme,2026-03-06,16424.39
21,C0021,DNI,983877,Natalia,Ninaquispe Cárdenas,natalia21@correo.com,933539808,Callao,Banca personal,2026-05-25,26297.97
22,C0022,DNI,28790551,Manuel,Ponce Paredes,manuel22correo.com,982322073,Lince,Banca preferente,2026-04-23,44672.55
