id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,131,2,32,2026-03-12,Ventanilla,Pendiente,540.00
2,O00002,98,5,35,2026-04-18,Banca móvil,Cancelado,477.75
3,O00003,199,4,21,2026-02-15,Banca por internet,Completado,1914.69
4,O00004,48,4,37,08/03/2026,Cajero automático,Completado,480.00
5,O00005,160,2,15,2026-02-05,Agente corresponsal,Completado,720.00
6,O00006,109,3,23,2026-01-05,Ventanilla,Completado,1531.22
7,O00007,27,6,6,2026-04-11,Banca móvil,Completado,81.96
8,O00008,160,6,23,2026-05-17,Banca por internet,Completado,606.00
9,O00009,180,6,5,2026-02-21,Cajero automático,Cancelado,1148.14
10,O00010,82,6,28,2026-06-12,Agente corresponsal,Cancelado,882.00
11,O00011,140,4,7,2026-01-01,Ventanilla,Pendiente,618.72
12,O00012,175,5,,2026-06-08,Banca móvil,Pendiente,792.00
13,O00013,172,3,14,2026-03-03,Banca por internet,Completado,985.63
14,O00014,67,1,37,2026-03-12,Cajero automático,Pendiente,154.00
15,O00015,125,6,29,2026-03-09,Agente corresponsal,Completado,1086.00
16,O00016,13,1,32,2026-02-20,Ventanilla,Completado,125.94
17,O00017,24,1,19,2026-01-14,Banca móvil,Completado,548.00
18,O00018,109,1,20,2026-03-08,Banca por internet,Completado,348.48
19,O00019,114,6,5,2026-05-25,Cajero automático,Completado,795.00
20,O00020,188,6,10,2026-02-02,Agente corresponsal,Completado,604.23
21,O00021,131,4,11,2026-03-03,Ventanilla,Completado,2330.14
22,O00022,53,1,,16/03/2026,Banca móvil,Pendiente,1653.45
23,O00023,54,2,26,2026-01-27,Banca por internet,Completado,390.00
24,O00024,145,1,12,2026-03-06,Cajero automático,Completado,110.94
25,O00025,39,5,9,2026-05-18,Agente corresponsal,Completado,1974.07
26,O00026,160,1,23,2026-05-01,Ventanilla,Completado,3250.00
27,O00027,91,3,15,2026-06-02,Banca móvil,Completado,388.12
28,O00028,138,6,34,2026-05-18,Banca por internet,Pendiente,1009.44
29,O00029,25,5,34,2026-06-18,Cajero automático,Completado,224.36
30,O00030,29,6,2,2026-06-13,Agente corresponsal,Completado,1098.26
31,O00031,66,3,10,10/01/2026,Ventanilla,Completado,3002.48
32,O00032,118,6,6,2026-01-01,Banca móvil,Completado,72.00
33,O00033,93,2,16,2026-03-26,Banca por internet,Completado,640.00
34,O00034,41,5,28,2026-02-02,Cajero automático,Pendiente,4753.58
35,O00035,110,5,23,2026-06-24,Agente corresponsal,Cancelado,48.64
36,O00036,84,6,27,2026-04-16,Ventanilla,Completado,3160.47
37,O00037,32,6,5,02/03/2026,Banca móvil,Pendiente,606.00
38,O00038,60,4,31,2026-06-08,Banca por internet,Completado,3606.20
39,O00039,190,6,18,2026-02-12,Cajero automático,Cancelado,229.00
40,O00040,149,3,19,2026-02-05,Agente corresponsal,Pendiente,504.00
41,O00041,137,6,12,2026-02-11,Ventanilla,Cancelado,30.00
42,O00042,179,5,34,2026-06-24,Banca móvil,Cancelado,889.00
43,O00043,10,3,22,13/04/2026,Banca por internet,Pendiente,2344.14
44,O00044,62,2,1,2026-06-11,Cajero automático,Completado,2094.52
45,O00045,27,5,2,09/06/2026,Agente corresponsal,Completado,588.00
46,O00046,133,5,28,2026-01-05,Ventanilla,Observado,1948.45
47,O00047,184,1,2,2026-01-16,Banca móvil,Pendiente,219.00
48,O00048,4,6,30,2026-06-12,Banca por internet,Completado,75.00
49,O00049,182,2,9,2026-01-19,Cajero automático,Observado,373.00
50,O00050,191,6,39,14/04/2026,Agente corresponsal,Observado,414.00
51,O00051,74,5,37,2026-05-12,Ventanilla,Completado,0.00
52,O00052,150,5,13,2026-05-20,Banca móvil,Completado,4047.59
53,O00053,9,6,5,2026-01-28,Banca por internet,Completado,2600.00
54,O00054,72,2,32,2026-03-24,Cajero automático,Cancelado,25.00
55,O00055,72,3,24,2026-04-16,Agente corresponsal,Completado,226.80
56,O00056,44,3,10,2026-04-23,Ventanilla,Completado,45.00
57,O00057,107,2,38,2026-04-07,Banca móvil,Cancelado,2170.89
58,O00058,132,2,25,2026-05-26,Banca por internet,Completado,274.75
59,O00059,9119,5,25,2026-03-27,Cajero automático,Completado,1017.16
60,O00060,124,2,6,2026-05-26,Agente corresponsal,Completado,717.00
61,O00061,62,1,12,2026-05-25,Ventanilla,Completado,153.25
62,O00062,129,1,16,2026-01-08,Banca móvil,Completado,16.00
63,O00063,171,5,12,2026-04-17,Banca por internet,Completado,399.50
64,O00064,56,2,28,2026-06-08,Cajero automático,Completado,108.00
65,O00065,183,4,31,2026-06-08,Agente corresponsal,Pendiente,88.12
66,O00066,54,4,1,2026-06-06,Ventanilla,Pendiente,813.00
67,O00067,129,5,7,2026-04-18,Banca móvil,Completado,7955.64
68,O00068,149,3,38,2026-02-10,Banca por internet,Observado,530.22
69,O00069,154,5,2,2026-03-05,Cajero automático,Pendiente,45.00
70,O00070,77,1,36,2026-02-26,Agente corresponsal,Completado,432.00
71,O00071,127,6,13,26/03/2026,Ventanilla,Completado,432.00
72,O00072,8,6,38,2026-06-18,Banca móvil,Completado,692.00
73,O00073,93,4,9,2026-04-16,Banca por internet,Completado,0.00
74,O00074,37,3,5,2026-02-06,Cajero automático,Completado,2025.00
75,O00075,53,5,1,2026-02-10,Agente corresponsal,Observado,279.18
76,O00076,9068,3,,2026-03-04,Ventanilla,Pendiente,62.00
77,O00077,129,4,2,2026-04-27,Banca móvil,Cancelado,967.46
78,O00078,64,2,33,2026-06-12,Banca por internet,Completado,180.00
79,O00079,36,1,8,2026-01-02,Cajero automático,Completado,75.00
80,O00080,142,1,7,2026-01-15,Agente corresponsal,Completado,1653.45
81,O00081,160,4,25,2026-02-19,Ventanilla,Cancelado,481.45
82,O00082,172,1,30,2026-06-06,Banca móvil,Cancelado,225.00
83,O00083,67,4,38,2026-01-28,Banca por internet,Completado,2781.78
84,O00084,18,4,35,2026-03-08,Cajero automático,Completado,445.65
85,O00085,174,5,36,05/05/2026,Agente corresponsal,Cancelado,1877.20
86,O00086,89,4,14,2026-01-06,Ventanilla,Completado,527.60
87,O00087,107,1,40,2026-02-01,Banca móvil,Observado,1514.80
88,O00088,13,5,11,2026-05-13,Banca por internet,Pendiente,18.49
89,O00089,128,5,24,2026-02-25,Cajero automático,Observado,154.16
90,O00090,171,6,36,2026-05-24,Agente corresponsal,Completado,450.00
91,O00091,11,1,26,2026-05-18,Ventanilla,Completado,256.50
92,O00092,156,1,13,25/05/2026,Banca móvil,Completado,1673.54
93,O00093,124,6,8,2026-02-05,Banca por internet,Completado,573.69
94,O00094,90,1,25,2026-06-07,Cajero automático,Completado,432.00
95,O00095,120,4,26,2026-03-06,Agente corresponsal,Pendiente,-1959.62
96,O00096,85,2,31,2026-02-22,Ventanilla,Completado,2247.55
97,O00097,85,2,29,2026-02-18,Banca móvil,Completado,943.48
98,O00098,9138,3,,2026-02-07,Banca por internet,Cancelado,651.74
99,O00099,44,2,16,2026-03-02,Cajero automático,Completado,144.00
