id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,condicion_cronica
1,C0001,RUC,79941052,Iván,Aguirre Bautista,iván1@correo.com,923380330,Rímac,Cliente frecuente,2026-01-24,Hipertensión
2,C0002,DNI,377593,Melissa,Torres Lévano,melissa2@correo.com,966971049,Villa El Salvador,Paciente crónico,2026-05-18,Asma
3,C0003,DNI,38119160,Milagros,Villanueva Zevallos,milagros3@correo.com,911285064,Surco,Compra ocasional,2026-03-08,Ninguna
4,C0004,DNI,14282620,Karla,Ríos Ninaquispe,karla4@correo.com,999382396,Villa El Salvador,Convenio corporativo,2026-05-10,Ninguna
5,C0005,DNI,12191834,Hugo,Romero Castillo,hugo5@correo.com,982000067,Surco,Cliente frecuente,2026-04-20,Asma
6,C0006,RUC,16485924,Natalia,Ríos Sánchez,natalia6@correo.com,957360193,,Paciente crónico,2026-05-06,Diabetes
7,C0007,DNI,68567899,Gabriela,Aguirre Chávez,gabriela7@correo.com,995318955,Ate,Compra ocasional,2026-04-11,Diabetes
8,C0008,DNI,11741349,Víctor,Torres Romero,víctor8@correo.com,913555823,Comas,Convenio corporativo,2026-05-20,Colesterol alto
9,C0009,DNI,12055906,Lucía,Romero Rojas,lucía9@correo.com,921860547,San Borja,Cliente frecuente,2026-03-17,Ninguna
10,C0010,DNI,55658713,Manuel,Quispe Cruz,manuel10@correo.com,933813783,La Molina,Paciente crónico,2026-01-17,Colesterol alto
11,C0011,CE,87518432,Luis,Paredes Mendoza,luis11@correo.com,912160684,,Compra ocasional,2026-01-01,Colesterol alto
12,C0012,DNI,73561379,Diego,Rivera Quispe,,956476776,San Miguel,Convenio corporativo,2026-01-05,Colesterol alto
13,C0013,RUC,95719883,Melissa,Mendoza Ramos,melissa13@correo.com,954485419,Independencia,Cliente frecuente,2026-02-13,Diabetes
14,C0014,CE,93789309,Rosa,Romero Rojas,rosa14@correo.com,968878578,Lince,Paciente crónico,2026-05-23,Asma
