id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,69,4,11,2026-06-04,Mostrador,Completado,148.35
2,O00002,139,3,40,2026-05-01,Web,Observado,326.05
3,O00003,79,3,26,2026-02-26,App MediSur,Completado,792.22
4,O00004,89,3,3,2026-03-27,Delivery telefónico,Observado,400.38
5,O00005,79,6,6,2026-06-27,Mostrador,Cancelado,-1767.6
6,O00006,97,4,5,19/01/2026,Web,Completado,259.76
7,O00007,47,4,7,2026-06-03,App MediSur,Completado,91.94
8,O00008,26,3,27,2026-03-15,Delivery telefónico,Completado,90.88
9,O00009,92,2,14,2026-02-14,Mostrador,Completado,385.11
10,O00010,160,4,27,2026-02-02,Web,Completado,113.91
11,O00011,38,6,26,2026-06-15,App MediSur,Completado,203.48
12,O00012,184,5,24,2026-01-12,Delivery telefónico,Pendiente,117.37
13,O00013,124,4,8,2026-04-07,Mostrador,Completado,119.20
14,O00014,61,3,5,2026-03-04,Web,Completado,658.35
15,O00015,73,5,,24/01/2026,App MediSur,Completado,10.75
16,O00016,194,5,12,2026-02-23,Delivery telefónico,Observado,411.64
17,O00017,128,3,35,2026-04-28,Mostrador,Completado,387.98
18,O00018,117,5,26,2026-05-17,Web,Completado,146.52
19,O00019,44,3,38,2026-01-18,App MediSur,Observado,628.38
20,O00020,95,2,34,2026-01-07,Delivery telefónico,Completado,335.22
21,O00021,6,4,17,2026-01-11,Mostrador,Completado,207.60
22,O00022,52,3,18,2026-05-13,Web,Pendiente,373.36
23,O00023,147,5,9,2026-01-03,App MediSur,Observado,974.59
24,O00024,113,5,15,2026-01-06,Delivery telefónico,Completado,265.40
25,O00025,142,1,6,2026-02-22,Mostrador,Pendiente,207.24
26,O00026,9182,4,29,2026-01-02,Web,Completado,466.86
27,O00027,148,6,31,2026-05-23,App MediSur,Observado,101.74
28,O00028,29,1,28,2026-04-09,Delivery telefónico,Completado,7066.95
29,O00029,175,3,12,2026-01-05,Mostrador,Completado,896.29
30,O00030,98,1,30,2026-03-27,Web,Pendiente,729.02
31,O00031,169,1,36,2026-04-26,App MediSur,Completado,28.40
32,O00032,42,1,25,2026-01-01,Delivery telefónico,Completado,329.43
33,O00033,126,1,36,2026-06-06,Mostrador,Completado,344.29
34,O00034,194,1,26,2026-04-04,Web,Completado,117.65
35,O00035,51,5,28,2026-03-05,App MediSur,Pendiente,76.32
36,O00036,134,4,9,2026-01-24,Delivery telefónico,Completado,3946.35
37,O00037,177,3,13,2026-06-09,Mostrador,Completado,613.87
38,O00038,106,6,13,2026-04-08,Web,Completado,276.08
39,O00039,192,2,24,2026-02-10,App MediSur,Cancelado,786.30
40,O00040,51,6,27,2026-02-20,Delivery telefónico,Pendiente,-2145.24
41,O00041,113,4,2,27/06/2026,Mostrador,Completado,811.00
42,O00042,110,3,17,2026-04-06,Web,Pendiente,60.45
43,O00043,160,2,20,2026-03-23,App MediSur,Pendiente,733.86
