id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,motivo_atencion_mascota
1,C0001,CE,26370789,Natalia,Ríos Huamán,natalia1@correo.com,999407568,Miraflores,Canino,2026-01-11,Control
2,C0002,DNI,80994893,Renzo,Romero Cárdenas,renzo2@correo.com,938269860,Independencia,Felino,2026-02-28,Desparasitación
3,C0003,CE,42268325,Milagros,Quispe Sánchez,milagros3@correo.com,972789001,Ate,Animal exótico,2026-04-17,Control
4,C0004,DNI,68588070,Carlos,Zevallos Espinoza,carlos4@correo.com,978879594,Breña,Cliente multimasota,2026-05-15,Desparasitación
5,C0005,DNI,11391010,Sergio,Quispe Castillo,sergio5@correo.com,974802321,San Miguel,Canino,2026-01-07,Vacunación
6,C0006,CE,10217803,Sofía,Villanueva Cruz,sofía6@correo.com,933892655,San Juan de Lurigancho,Felino,2026-04-16,Desparasitación
7,C0007,DNI,28995656,Claudia,Ramos Ríos,claudia7@correo.com,,Comas,Animal exótico,2026-01-11,Emergencia
8,C0008,RUC,32422137,Manuel,Chávez Paredes,manuel8@correo.com,980605646,Chorrillos,Cliente multimasota,2026-02-17,Cirugía menor
9,C0009,DNI,20926851,Verónica,Chávez Ponce,verónica9@correo.com,921627122,Miraflores,Canino,2026-05-26,Emergencia
10,C0010,CE,31833153,Iván,Espinoza Rojas,iván10@correo.com,999348777,Breña,Felino,2026-01-03,Vacunación
11,C0011,RUC,677949,Luis,Zevallos Rivera,,921025820,Miraflores,Animal exótico,2026-02-28,Emergencia
12,C0012,DNI,39973531,Renzo,Díaz Rivera,renzo12@correo.com,982743253,San Borja,Cliente multimasota,2026-02-08,Emergencia
13,C0013,DNI,53906541,Natalia,Ríos Ríos,natalia13@correo.com,930249672,San Juan de Lurigancho,Canino,2026-02-27,Desparasitación
14,C0014,DNI,96633444,Iván,Villanueva Aguirre,iván14@correo.com,990390687,Surco,Felino,2026-04-12,Desparasitación
15,C0015,DNI,64859714,Luis,Zevallos Espinoza,luis15@correo.com,988042427,Miraflores,Animal exótico,2026-05-27,Emergencia
16,C0016,DNI,28376059,Claudia,Ninaquispe Flores,,917360354,Chorrillos,Cliente multimasota,2026-01-20,Emergencia
17,C0017,CE,72018612,Diego,Cárdenas Ninaquispe,diego17@correo.com,955108504,San Miguel,Canino,2026-02-08,Desparasitación
18,C0018,DNI,55370903,Elena,Castillo Ponce,elena18@correo.com,944053896,Surco,Felino,2026-01-06,Cirugía menor
19,C0019,DNI,34946511,Patricia,Sánchez Espinoza,,975334635,San Borja,Animal exótico,2026-04-16,Desparasitación
20,C0020,CE,16681004,Karla,Salazar Aguirre,karla20@correo.com,988529994,Breña,Cliente multimasota,2026-03-16,Desparasitación
21,C0021,RUC,79950357,Diego,Sánchez Ramos,diego21correo.com,938895160,Chorrillos,Canino,2026-05-15,Desparasitación
22,C0022,DNI,76578356,Natalia,Ponce Cornejo,natalia22@correo.com,969162266,Independencia,Felino,2026-01-26,Cirugía menor
23,C0023,DNI,78721217,Melissa,Paredes Ramos,melissa23@correo.com,998607701,Ate,Animal exótico,2026-03-20,Emergencia
