id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,79,4,9,2026-04-12,Consulta presencial,Completado,166.00
2,O00002,197,6,14,2026-06-14,Cita web,Completado,800.92
3,O00003,189,5,20,26/02/2026,Emergencia veterinaria,Completado,2189.47
4,O00004,90,5,20,2026-02-11,Visita a domicilio,Completado,1721.00
5,O00005,81,5,14,2026-01-08,Consulta presencial,Cancelado,239.12
6,O00006,90,5,29,17/04/2026,Cita web,Completado,95.00
7,O00007,63,1,12,2026-01-15,Emergencia veterinaria,Completado,2441.80
8,O00008,149,5,40,2026-05-19,Visita a domicilio,Cancelado,1056.67
9,O00009,181,1,11,2026-06-18,Consulta presencial,Completado,3405.70
10,O00010,4,1,25,2026-04-06,Cita web,Completado,4371.70
11,O00011,45,3,8,01/03/2026,Emergencia veterinaria,Completado,605.00
12,O00012,91,2,26,2026-04-08,Visita a domicilio,Completado,653.50
13,O00013,124,5,9,2026-03-07,Consulta presencial,Pendiente,2173.68
14,O00014,121,1,17,2026-03-11,Cita web,Pendiente,-1289.76
15,O00015,16,2,16,2026-03-27,Emergencia veterinaria,Completado,1209.00
16,O00016,12,3,19,22/01/2026,Visita a domicilio,Completado,4086.84
17,O00017,116,2,4,2026-05-02,Consulta presencial,Completado,516.50
18,O00018,135,1,11,19/05/2026,Cita web,Completado,7297.00
19,O00019,196,3,21,2026-02-04,Emergencia veterinaria,Pendiente,1150.77
20,O00020,86,6,6,2026-02-08,Visita a domicilio,Completado,917.33
21,O00021,9314,4,25,2026-02-19,Consulta presencial,Completado,1775.51
22,O00022,192,3,38,2026-06-28,Cita web,Completado,1013.24
23,O00023,126,5,22,2026-05-26,Emergencia veterinaria,Completado,105.00
24,O00024,108,3,40,2026-02-09,Visita a domicilio,Pendiente,335.00
25,O00025,29,5,8,2026-04-24,Consulta presencial,Observado,4464.84
26,O00026,51,3,13,2026-04-12,Cita web,Pendiente,-5143.77
27,O00027,13,1,17,2026-06-27,Emergencia veterinaria,Pendiente,2930.16
28,O00028,68,2,12,2026-01-01,Visita a domicilio,Completado,411.98
29,O00029,198,3,20,2026-03-20,Consulta presencial,Pendiente,743.72
30,O00030,140,4,22,2026-01-20,Cita web,Cancelado,364.00
31,O00031,78,1,36,2026-04-10,Emergencia veterinaria,Completado,1714.95
32,O00032,84,3,15,2026-06-18,Visita a domicilio,Completado,1224.00
33,O00033,144,4,35,2026-05-05,Consulta presencial,Completado,273.00
34,O00034,199,1,21,2026-05-25,Cita web,Pendiente,3311.53
35,O00035,90,5,35,2026-05-14,Emergencia veterinaria,Cancelado,235.00
36,O00036,81,6,36,2026-04-26,Visita a domicilio,Completado,488.36
37,O00037,32,6,11,2026-01-22,Consulta presencial,Cancelado,1932.28
38,O00038,87,4,22,2026-05-24,Cita web,Completado,1773.00
39,O00039,1,4,23,2026-06-12,Emergencia veterinaria,Pendiente,784.15
40,O00040,57,2,14,2026-02-06,Visita a domicilio,Completado,890.00
41,O00041,48,6,30,2026-04-03,Consulta presencial,Cancelado,1354.15
42,O00042,188,6,13,2026-03-20,Cita web,Completado,5596.94
43,O00043,155,1,38,2026-05-27,Emergencia veterinaria,Cancelado,3577.16
44,O00044,173,1,36,2026-01-19,Visita a domicilio,Completado,2252.08
45,O00045,75,4,14,2026-05-02,Consulta presencial,Cancelado,5669.53
46,O00046,79,1,19,2026-01-05,Cita web,Completado,1336.70
47,O00047,145,6,40,2026-05-07,Emergencia veterinaria,Completado,136.22
48,O00048,53,4,3,2026-01-02,Visita a domicilio,Observado,286.05
49,O00049,56,3,29,2026-03-13,Consulta presencial,Completado,2079.44
50,O00050,174,5,23,28/05/2026,Cita web,Completado,825.73
51,O00051,28,2,9,2026-01-17,Emergencia veterinaria,Completado,154.00
52,O00052,159,2,22,2026-06-12,Visita a domicilio,Completado,105.00
53,O00053,3,4,,2026-04-03,Consulta presencial,Observado,524.73
54,O00054,196,5,17,2026-03-13,Cita web,Completado,923.28
55,O00055,40,2,33,26/06/2026,Emergencia veterinaria,Completado,1155.00
56,O00056,11,5,26,14/01/2026,Visita a domicilio,Completado,844.15
57,O00057,89,2,33,05/02/2026,Consulta presencial,Cancelado,1267.53
58,O00058,47,5,32,2026-03-17,Cita web,Completado,1077.76
59,O00059,22,1,9,2026-06-18,Emergencia veterinaria,Pendiente,538.45
60,O00060,180,1,40,2026-03-23,Visita a domicilio,Completado,1056.00
61,O00061,127,3,20,2026-01-19,Consulta presencial,Completado,118.00
62,O00062,99,4,4,2026-04-28,Cita web,Cancelado,672.40
63,O00063,170,1,10,2026-02-10,Emergencia veterinaria,Pendiente,1614.67
64,O00064,47,2,13,19/02/2026,Visita a domicilio,Completado,4081.40
65,O00065,76,4,34,2026-04-20,Consulta presencial,Pendiente,2597.28
66,O00066,6,2,31,23/03/2026,Cita web,Pendiente,801.09
67,O00067,146,2,23,2026-02-21,Emergencia veterinaria,Observado,842.24
68,O00068,6,4,4,2026-03-15,Visita a domicilio,Completado,771.72
69,O00069,9093,4,32,2026-05-28,Consulta presencial,Cancelado,1329.46
70,O00070,64,4,39,2026-03-20,Cita web,Pendiente,1587.10
71,O00071,30,2,38,2026-03-10,Emergencia veterinaria,Completado,600.00
72,O00072,98,3,4,2026-06-08,Visita a domicilio,Pendiente,331.41
73,O00073,32,3,28,2026-01-09,Consulta presencial,Observado,1037.91
74,O00074,126,1,38,2026-02-20,Cita web,Completado,133.56
75,O00075,114,6,34,2026-04-20,Emergencia veterinaria,Pendiente,6837.30
76,O00076,138,2,38,2026-04-26,Visita a domicilio,Pendiente,1418.74
77,O00077,121,2,3,2026-04-06,Consulta presencial,Observado,364.00
78,O00078,7,1,32,2026-04-08,Cita web,Completado,569.45
79,O00079,29,6,,2026-02-06,Emergencia veterinaria,Completado,1891.30
80,O00080,167,1,1,2026-06-16,Visita a domicilio,Completado,4177.84
81,O00081,119,1,10,2026-04-09,Consulta presencial,Completado,404.50
82,O00082,143,6,31,2026-03-12,Cita web,Completado,647.24
83,O00083,79,3,39,2026-01-13,Emergencia veterinaria,Completado,751.14
84,O00084,90,5,32,2026-04-14,Visita a domicilio,Completado,663.35
85,O00085,21,4,32,2026-05-19,Consulta presencial,Completado,683.54
86,O00086,131,4,3,2026-03-16,Cita web,Completado,1255.25
87,O00087,160,4,10,2026-04-07,Emergencia veterinaria,Completado,4422.00
88,O00088,162,3,16,2026-02-15,Visita a domicilio,Completado,380.00
89,O00089,147,3,33,2026-05-16,Consulta presencial,Completado,210.00
90,O00090,164,2,20,2026-01-17,Cita web,Cancelado,915.00
91,O00091,85,6,3,2026-05-25,Emergencia veterinaria,Completado,6453.15
92,O00092,42,2,39,2026-02-28,Visita a domicilio,Completado,520.23
93,O00093,111,2,14,2026-05-05,Consulta presencial,Completado,753.15
94,O00094,43,2,13,2026-02-01,Cita web,Pendiente,355.00
95,O00095,56,3,15,2026-04-18,Emergencia veterinaria,Completado,323.00
96,O00096,3,3,27,2026-06-18,Visita a domicilio,Completado,417.23
97,O00097,133,5,40,2026-01-11,Consulta presencial,Observado,178.43
98,O00098,77,1,31,2026-02-13,Cita web,Completado,324.92
99,O00099,37,5,22,2026-05-07,Emergencia veterinaria,Pendiente,880.00
100,O00100,179,6,7,2026-02-20,Visita a domicilio,Completado,81.23
101,O00101,151,2,17,2026-01-07,Consulta presencial,Pendiente,541.05
102,O00102,48,2,23,2026-01-25,Cita web,Completado,2439.22
103,O00103,156,3,23,2026-01-02,Emergencia veterinaria,Completado,6173.14
104,O00104,110,2,26,2026-01-19,Visita a domicilio,Completado,302.00
105,O00105,59,6,2,2026-03-26,Consulta presencial,Cancelado,276.54
106,O00106,133,1,4,2026-02-04,Cita web,Completado,1038.82
107,O00107,180,6,4,2026-01-04,Emergencia veterinaria,Cancelado,1100.00
108,O00108,3,2,25,2026-06-09,Visita a domicilio,Completado,238.68
109,O00109,136,5,9,25/03/2026,Consulta presencial,Pendiente,3405.70
110,O00110,36,6,28,2026-03-09,Cita web,Completado,1567.00
111,O00111,25,6,1,2026-06-26,Emergencia veterinaria,Pendiente,1487.10
112,O00112,15,2,6,2026-01-09,Visita a domicilio,Completado,267.68
113,O00113,181,5,7,2026-02-25,Consulta presencial,Pendiente,485.00
114,O00114,193,3,30,2026-02-06,Cita web,Completado,786.92
115,O00115,186,5,14,2026-03-28,Emergencia veterinaria,Completado,427.53
116,O00116,174,6,28,2026-04-25,Visita a domicilio,Completado,290.00
117,O00117,107,6,6,2026-02-07,Consulta presencial,Completado,380.00
118,O00118,52,3,10,2026-04-19,Cita web,Completado,516.36
119,O00119,179,2,18,2026-01-13,Emergencia veterinaria,Completado,85.68
120,O00120,110,3,36,2026-04-20,Visita a domicilio,Completado,1957.23
121,O00121,42,4,33,2026-03-20,Consulta presencial,Completado,415.00
122,O00122,29,3,28,2026-04-24,Cita web,Completado,413.72
123,O00123,39,5,13,2026-05-02,Emergencia veterinaria,Completado,611.92
124,O00124,92,5,40,2026-02-26,Visita a domicilio,Completado,231.72
125,O00125,170,1,6,2026-06-05,Consulta presencial,Completado,989.41
126,O00126,176,2,34,2026-04-23,Cita web,Completado,1687.78
127,O00127,125,6,22,2026-02-11,Emergencia veterinaria,Completado,276.54
128,O00128,42,1,12,2026-01-04,Visita a domicilio,Pendiente,193.10
129,O00129,153,3,39,2026-06-12,Consulta presencial,Cancelado,3922.04
130,O00130,198,2,7,2026-05-27,Cita web,Completado,795.00
131,O00131,17,1,4,2026-01-12,Emergencia veterinaria,Cancelado,2991.78
132,O00132,176,3,21,2026-02-25,Visita a domicilio,Cancelado,416.54
133,O00133,112,4,3,2026-02-21,Consulta presencial,Completado,1229.46
134,O00134,87,2,1,2026-05-06,Cita web,Observado,368.72
135,O00135,82,2,17,2026-03-26,Emergencia veterinaria,Completado,4816.71
136,O00136,161,5,37,2026-05-22,Visita a domicilio,Pendiente,358.47
137,O00137,181,1,14,2026-04-18,Consulta presencial,Completado,2614.20
138,O00138,187,4,27,2026-06-14,Cita web,Pendiente,315.68
139,O00139,163,5,33,2026-01-06,Emergencia veterinaria,Completado,880.00
140,O00140,105,1,36,2026-04-03,Visita a domicilio,Pendiente,2932.36
141,O00141,142,4,22,2026-01-26,Consulta presencial,Cancelado,196.00
142,O00142,140,4,26,2026-05-19,Cita web,Observado,774.00
143,O00143,61,4,,2026-03-03,Emergencia veterinaria,Pendiente,1878.37
144,O00144,89,5,39,2026-01-08,Visita a domicilio,Pendiente,2434.58
145,O00145,103,2,30,2026-05-19,Consulta presencial,Completado,406.15
146,O00146,147,3,36,2026-02-20,Cita web,Completado,2795.31
147,O00147,46,3,38,2026-06-03,Emergencia veterinaria,Pendiente,280.00
148,O00148,9935,5,31,2026-06-06,Visita a domicilio,Cancelado,142.41
149,O00149,97,2,13,2026-04-26,Consulta presencial,Cancelado,78.00
150,O00150,65,3,29,2026-03-22,Cita web,Completado,620.00
151,O00151,62,5,10,2026-05-27,Emergencia veterinaria,Observado,1088.72
152,O00152,100,3,19,2026-04-01,Visita a domicilio,Completado,1057.68
153,O00153,141,1,7,2026-06-05,Consulta presencial,Completado,526.00
154,O00154,164,3,34,2026-02-15,Cita web,Pendiente,1354.72
155,O00155,33,3,8,2026-01-18,Emergencia veterinaria,Completado,1756.08
156,O00156,72,4,3,2026-03-04,Visita a domicilio,Observado,2673.44
157,O00157,41,4,33,2026-01-18,Consulta presencial,Observado,2183.00
158,O00158,129,5,23,2026-06-17,Cita web,Observado,76.47
159,O00159,120,2,17,2026-02-19,Emergencia veterinaria,Completado,336.72
160,O00160,99,4,8,2026-03-28,Visita a domicilio,Completado,3713.70
161,O00161,12,1,31,2026-04-16,Consulta presencial,Pendiente,2033.68
162,O00162,200,2,27,2026-02-09,Cita web,Completado,2981.84
163,O00163,31,4,34,2026-05-15,Emergencia veterinaria,Pendiente,177.00
164,O00164,151,1,3,2026-06-08,Visita a domicilio,Completado,5867.45
165,O00165,10,2,9,2026-04-05,Consulta presencial,Completado,609.74
166,O00166,65,6,13,2026-02-06,Cita web,Pendiente,291.00
167,O00167,154,4,25,2026-02-05,Emergencia veterinaria,Completado,168.65
168,O00168,39,1,32,2026-04-27,Visita a domicilio,Completado,1306.29
169,O00169,128,3,13,2026-01-03,Consulta presencial,Pendiente,9670.90
170,O00170,5,2,22,2026-01-07,Cita web,Completado,2959.56
171,O00171,155,3,10,2026-06-28,Emergencia veterinaria,Completado,140.00
172,O00172,145,5,9,2026-05-23,Visita a domicilio,Pendiente,431.00
173,O00173,40,4,29,2026-06-02,Consulta presencial,Completado,427.00
174,O00174,15,3,7,2026-05-20,Cita web,Observado,1320.00
175,O00175,37,3,19,2026-03-01,Emergencia veterinaria,Observado,119.34
176,O00176,86,1,34,2026-04-11,Visita a domicilio,Observado,4115.40
177,O00177,116,2,14,2026-03-20,Consulta presencial,Observado,190.00
178,O00178,188,5,33,12/05/2026,Cita web,Completado,1716.72
179,O00179,29,2,1,2026-01-17,Emergencia veterinaria,Pendiente,2958.72
180,O00180,2,6,25,2026-02-12,Visita a domicilio,Completado,4200.65
181,O00181,64,2,36,2026-03-12,Consulta presencial,Completado,919.79
182,O00182,38,5,36,2026-03-05,Cita web,Completado,231.72
183,O00183,21,4,33,2026-01-22,Emergencia veterinaria,Observado,2255.83
184,O00184,83,4,3,2026-03-07,Visita a domicilio,Completado,681.14
185,O00185,54,6,31,2026-03-19,Consulta presencial,Completado,1472.69
186,O00186,89,3,24,2026-03-19,Cita web,Completado,231.72
187,O00187,147,2,31,2026-01-11,Emergencia veterinaria,Completado,753.15
188,O00188,37,2,31,2026-06-01,Visita a domicilio,Completado,1158.18
189,O00189,116,3,4,2026-01-23,Consulta presencial,Observado,606.64
190,O00190,141,5,29,2026-05-12,Cita web,Pendiente,364.00
191,O00191,124,5,24,2026-03-19,Emergencia veterinaria,Completado,1902.00
192,O00192,14,4,17,2026-02-12,Visita a domicilio,Completado,147.00
193,O00193,69,6,14,2026-04-01,Consulta presencial,Completado,508.48
194,O00194,104,3,34,2026-05-25,Cita web,Completado,700.30
195,O00195,55,4,31,2026-04-06,Emergencia veterinaria,Cancelado,2955.56
196,O00196,182,4,23,2026-06-26,Visita a domicilio,Completado,354.12
197,O00197,9351,6,12,2026-01-18,Consulta presencial,Observado,708.94
198,O00198,8,2,20,2026-01-27,Cita web,Completado,2084.75
199,O00199,123,4,15,19/05/2026,Emergencia veterinaria,Completado,3984.75
200,O00200,196,4,27,2026-04-02,Visita a domicilio,Completado,298.10
201,O00201,182,1,35,2026-03-25,Consulta presencial,Completado,2707.77
202,O00202,160,6,11,2026-05-13,Cita web,Completado,325.68
203,O00203,46,5,36,2026-01-08,Emergencia veterinaria,Completado,538.14
