id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,nacionalidad
1,C0001,CE,55845637,Óscar,Sánchez Chávez,óscar1@correo.com,935451418,Breña,Huésped nacional,2026-01-11,EE.UU.
2,C0002,DNI,30396514,Jorge,Ramos Ramos,,911343903,Independencia,Huésped internacional,2026-03-23,Ecuador
3,C0003,RUC,89431000,Natalia,Huamán Ramos,natalia3@correo.com,939281095,Villa El Salvador,Corporativo,2026-04-13,Chile
4,C0004,DNI,19215695,Sergio,Gutiérrez Rivera,sergio4@correo.com,927202242,San Juan de Lurigancho,Grupo turístico,2026-05-20,Chile
5,C0005,DNI,89367944,Ricardo,Mendoza Rojas,,992030112,Comas,Huésped nacional,2026-05-13,Chile
6,C0006,DNI,66598065,Daniela,Salazar Ponce,daniela6correo.com,,Breña,Huésped internacional,2026-03-25,Colombia
7,C0007,RUC,62243367,Óscar,Cruz Gutiérrez,óscar7@correo.com,912986329,Lince,Corporativo,2026-02-08,Perú
8,C0008,RUC,67069195,Manuel,Bautista Sánchez,manuel8@correo.com,928475729,San Juan de Lurigancho,Grupo turístico,2026-04-03,Colombia
9,C0009,DNI,15952030,Luis,Gutiérrez Paredes,luis9@correo.com,993119652,San Juan de Lurigancho,Huésped nacional,2026-04-22,Colombia
10,C0010,DNI,63852721,Luis,Paredes Castillo,luis10@correo.com,925367848,La Molina,Huésped internacional,2026-05-14,Perú
11,C0011,DNI,12635097,Andrés,Cruz Ríos,andrés11@correo.com,919260208,Los Olivos,Corporativo,2026-05-18,EE.UU.
12,C0012,RUC,81259525,Pedro,Lévano Romero,pedro12@correo.com,962603366,Callao,Grupo turístico,2026-01-28,EE.UU.
13,C0013,RUC,13612416,Luis,Gutiérrez Quispe,luis13@correo.com,947548073,La Molina,Huésped nacional,2026-02-20,Colombia
14,C0014,DNI,13351093,José,Espinoza Mendoza,josé14@correo.com,922058536,Comas,Huésped internacional,2026-01-23,Colombia
15,C0015,DNI,92703825,Miguel,Palomino Ríos,miguel15@correo.com,914860659,Independencia,Corporativo,2026-05-17,Colombia
16,C0016,DNI,83880052,Karla,Lévano Cornejo,karla16correo.com,987348425,,Grupo turístico,2026-04-07,Chile
17,C0017,DNI,225177,Pamela,Ninaquispe Gutiérrez,pamela17@correo.com,970050852,Villa El Salvador,Huésped nacional,2026-05-21,Perú
18,C0018,CE,18717742,Renzo,Chávez Ríos,,965270127,Chorrillos,Huésped internacional,2026-02-03,Chile
19,C0019,DNI,36320172,Rosa,Rivera Salazar,rosa19@correo.com,,San Juan de Lurigancho,Corporativo,2026-04-13,Colombia
