id_empleado,codigo_empleado,nombres,apellidos,num_documento,cargo,id_sede,correo,sueldo,fecha_ingreso
1,E0001,Óscar,Rojas Díaz,41158335,Recepcionista,3,óscar.rojas@hotel_andes_stay.pe,4639.0,2026-02-07
2,E0002,Melissa,Aguirre Gutiérrez,57816679,Conserje,3,melissa.aguirre@hotel_andes_stay.pe,5396.34,2026-03-22
3,E0003,Fernando,Lévano Palomino,46816232,Camarero de habitaciones,5,fernando.lévano@hotel_andes_stay.pe,3709.54,2026-02-11
4,E0004,Daniela,Bautista Mendoza,90060090,Chef de turno,1,daniela.bautista@hotel_andes_stay.pe,3171.52,2026-02-10
5,E0005,Álvaro,Cornejo Rivera,86049799,Ejecutivo de reservas,5,álvaro.cornejo@hotel_andes_stay.pe,,2026-03-22
6,E0006,Carlos,Flores Ríos,11150594,Jefe de alojamiento,1,carlos.flores@hotel_andes_stay.pe,1424.22,2026-01-15
7,E0007,Carmen,Chávez Aguirre,72357881,Recepcionista,2,carmen.chávez@hotel_andes_stay.pe,6307.04,2026-01-08
8,E0008,Elena,Mendoza Ponce,60381890,Conserje,3,elena.mendoza@hotel_andes_stay.pe,3741.29,2026-03-02
9,E0009,Víctor,Sánchez Espinoza,43393623,Camarero de habitaciones,4,víctor.sánchez@hotel_andes_stay.pe,3095.84,2026-01-28
10,E0010,Hugo,Torres Gutiérrez,90432331,Chef de turno,6,hugo.torres@hotel_andes_stay.pe,4267.79,2026-03-13
11,E0011,Sofía,Ponce Palomino,59257196,Ejecutivo de reservas,5,sofía.ponce@hotel_andes_stay.pe,5700.15,2026-02-09
12,E0012,Miguel,Salazar Ninaquispe,52405423,Jefe de alojamiento,1,miguel.salazar@hotel_andes_stay.pe,1706.92,2026-03-21
13,E0013,Melissa,Vargas Romero,60580071,Recepcionista,6,melissa.vargas@hotel_andes_stay.pe,6206.56,2026-01-16
14,E0014,Claudia,Sánchez Salazar,54015253,Conserje,2,claudia.sánchez@hotel_andes_stay.pe,5983.29,2026-02-24
15,E0015,Daniela,Cornejo Espinoza,33624445,Camarero de habitaciones,5,daniela.cornejo@hotel_andes_stay.pe,5063.45,2026-03-25
16,E0016,Carlos,Ramos Ponce,20535094,Chef de turno,3,carlos.ramos@hotel_andes_stay.pe,6123.29,2026-01-02
17,E0017,Diego,Romero Ponce,41363528,Ejecutivo de reservas,2,diego.romero@hotel_andes_stay.pe,2585.44,2026-03-13
18,E0018,Iván,Castillo Sánchez,39968161,Jefe de alojamiento,4,iván.castillo@hotel_andes_stay.pe,,2026-02-03
19,E0019,Manuel,Ponce Torres,61297848,Recepcionista,1,manuel.ponce@hotel_andes_stay.pe,5228.32,2026-01-13
20,E0020,Jorge,Gutiérrez Flores,54953873,Conserje,3,jorge.gutiérrez@hotel_andes_stay.pe,,2026-03-22
21,E0021,Iván,Castillo Villanueva,77545351,Camarero de habitaciones,1,iván.castillo@hotel_andes_stay.pe,2814.87,2026-03-04
22,E0022,Jorge,Bautista Cruz,19308465,Chef de turno,3,jorge.bautista@hotel_andes_stay.pe,6085.65,2026-03-27
23,E0023,Carlos,Rivera Salazar,47270935,Ejecutivo de reservas,5,carlos.rivera@hotel_andes_stay.pe,2233.79,2026-02-06
24,E0024,Natalia,Aguirre Castillo,72356740,Jefe de alojamiento,6,natalia.aguirre@hotel_andes_stay.pe,2886.94,2026-01-01
25,E0025,Milagros,Villanueva Aguirre,63335441,Recepcionista,6,milagros.villanueva@hotel_andes_stay.pe,5292.17,2026-03-03
26,E0026,Karla,Torres Sánchez,83559144,Conserje,4,karla.torres@hotel_andes_stay.pe,,2026-03-28
27,E0027,Elena,Torres Chávez,13115140,Camarero de habitaciones,6,elena.torres@hotel_andes_stay.pe,3184.51,2026-02-14
28,E0028,Milagros,Castillo Torres,11795812,Chef de turno,2,milagros.castillo@hotel_andes_stay.pe,3485.95,2026-01-26
29,E0029,Miguel,Huamán Salazar,35087806,Ejecutivo de reservas,5,miguel.huamán@hotel_andes_stay.pe,6064.06,2026-01-01
30,E0030,Carlos,Espinoza Torres,48350201,Jefe de alojamiento,4,carlos.espinoza@hotel_andes_stay.pe,2496.94,2026-02-16
31,E0031,Ana,Paredes Flores,26156345,Recepcionista,2,ana.paredes@hotel_andes_stay.pe,,2026-03-01
32,E0032,Víctor,Huamán Flores,80930630,Conserje,2,víctor.huamán@hotel_andes_stay.pe,3120.15,2026-03-24
33,E0033,Elena,Bautista Rojas,17073845,Camarero de habitaciones,4,elena.bautista@hotel_andes_stay.pe,5871.56,2026-02-15
34,E0034,Isabel,Zevallos Mendoza,72295194,Chef de turno,5,isabel.zevallos@hotel_andes_stay.pe,2472.55,2026-02-24
35,E0035,Patricia,Ninaquispe Lévano,13271113,Ejecutivo de reservas,1,patricia.ninaquispe@hotel_andes_stay.pe,,2026-03-22
36,E0036,Víctor,Lévano Rivera,92306427,Jefe de alojamiento,5,víctor.lévano@hotel_andes_stay.pe,3697.74,2026-02-03
37,E0037,Paola,Zevallos Espinoza,37810326,Recepcionista,4,paola.zevallos@hotel_andes_stay.pe,4056.19,2026-02-18
38,E0038,Daniela,Paredes Cornejo,49106718,Conserje,4,daniela.paredes@hotel_andes_stay.pe,5426.7,2026-02-08
39,E0039,Milagros,Cruz Mendoza,99473306,Camarero de habitaciones,1,milagros.cruz@hotel_andes_stay.pe,2353.31,2026-02-14
40,E0040,Miguel,Díaz Torres,37039702,Chef de turno,6,miguel.díaz@hotel_andes_stay.pe,2185.3,2026-01-14
