id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,87,4,,2026-03-13,Recepción,Cancelado,2794.10
2,O00002,57,3,22,2026-04-14,Web del hotel,Pendiente,712.54
3,O00003,180,1,40,2026-02-15,Agencia de viajes,Observado,901.64
4,O00004,104,1,1,2026-05-17,Central de reservas,Completado,3279.49
5,O00005,170,3,28,2026-06-16,Recepción,Pendiente,3143.81
6,O00006,82,2,28,2026-04-16,Web del hotel,Pendiente,133.96
7,O00007,1,6,23,2026-03-07,Agencia de viajes,Completado,2740.00
8,O00008,78,4,37,2026-01-27,Central de reservas,Pendiente,3447.98
9,O00009,12,1,9,2026-06-26,Recepción,Pendiente,1744.73
10,O00010,155,4,30,2026-01-15,Web del hotel,Completado,1964.08
11,O00011,88,2,,2026-01-17,Agencia de viajes,Completado,614.23
12,O00012,43,6,32,2026-03-07,Central de reservas,Cancelado,2680.00
13,O00013,115,3,23,2026-02-14,Recepción,Completado,1120.59
14,O00014,20,2,40,2026-04-05,Web del hotel,Completado,1810.74
15,O00015,155,3,13,2026-04-22,Agencia de viajes,Completado,680.40
16,O00016,175,2,18,2026-02-03,Central de reservas,Observado,3654.60
17,O00017,47,4,29,14/01/2026,Recepción,Completado,2478.16
18,O00018,136,5,23,2026-03-01,Web del hotel,Completado,776.37
19,O00019,122,5,21,2026-04-10,Agencia de viajes,Completado,1121.23
20,O00020,9785,1,29,2026-06-21,Central de reservas,Cancelado,181.36
21,O00021,63,3,4,2026-03-13,Recepción,Completado,1682.92
22,O00022,154,6,9,2026-04-06,Web del hotel,Completado,2370.93
23,O00023,126,2,26,2026-06-18,Agencia de viajes,Completado,1185.00
24,O00024,122,1,3,2026-06-27,Central de reservas,Cancelado,1651.86
25,O00025,81,3,6,09/04/2026,Recepción,Observado,367.44
26,O00026,192,2,36,2026-04-17,Web del hotel,Completado,1280.02
27,O00027,98,3,33,2026-04-20,Agencia de viajes,Completado,122.75
28,O00028,57,6,24,2026-03-24,Central de reservas,Pendiente,241.23
29,O00029,51,2,7,2026-05-14,Recepción,Completado,3097.07
30,O00030,121,4,32,2026-04-05,Web del hotel,Completado,3615.88
31,O00031,139,4,28,2026-01-28,Agencia de viajes,Observado,1525.00
32,O00032,84,1,24,2026-04-08,Central de reservas,Completado,98.20
33,O00033,156,6,31,08/01/2026,Recepción,Completado,1628.87
34,O00034,155,4,33,2026-02-02,Web del hotel,Pendiente,2866.00
35,O00035,185,2,34,2026-01-04,Agencia de viajes,Cancelado,697.96
36,O00036,148,2,9,2026-06-09,Central de reservas,Observado,2558.49
37,O00037,44,2,16,2026-03-03,Recepción,Completado,228.40
38,O00038,113,4,20,2026-06-23,Web del hotel,Completado,536.93
39,O00039,143,3,1,2026-04-03,Agencia de viajes,Completado,978.00
40,O00040,72,2,8,2026-03-11,Central de reservas,Pendiente,848.10
41,O00041,76,6,24,2026-01-22,Recepción,Cancelado,2433.25
42,O00042,173,3,15,2026-05-22,Web del hotel,Completado,2922.01
43,O00043,185,3,38,2026-02-27,Agencia de viajes,Completado,813.50
44,O00044,197,3,27,14/01/2026,Central de reservas,Completado,610.60
45,O00045,87,3,22,2026-06-07,Recepción,Pendiente,2313.99
46,O00046,33,4,34,2026-05-24,Web del hotel,Completado,321.64
47,O00047,14,5,25,2026-02-10,Agencia de viajes,Completado,1343.65
48,O00048,125,1,15,2026-03-12,Central de reservas,Pendiente,1863.33
49,O00049,116,3,24,2026-05-04,Recepción,Completado,2292.31
50,O00050,65,1,27,2026-05-20,Web del hotel,Completado,36.00
51,O00051,140,5,29,2026-02-27,Agencia de viajes,Completado,1688.92
