id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,direccion_entrega
1,C0001,DNI,89952308,José,Ríos Sánchez,josé1correo.com,920464382,Lince,Persona natural,2026-03-21,Av. Brasil 1646
2,C0002,RUC,50679648,Renzo,Gutiérrez Castillo,renzo2@correo.com,920891962,Miraflores,Tienda virtual,2026-03-22,Av. Los Pinos 331
3,C0003,CE,42698957,Isabel,Palomino Cárdenas,isabel3@correo.com,953511180,La Molina,Pyme,2026-02-15,Av. El Sol 1406
4,C0004,RUC,25894858,Pedro,Bautista Ponce,pedro4@correo.com,938963413,Chorrillos,Cliente corporativo,2026-04-20,Av. Los Pinos 1934
5,C0005,CE,13847345,Sergio,Cornejo Villanueva,sergio5correo.com,912376130,Chorrillos,Persona natural,2026-05-12,Av. La Marina 1057
6,C0006,DNI,18535270,Ana,Zevallos Zevallos,ana6@correo.com,,Los Olivos,Tienda virtual,2026-04-27,Av. La Marina 1922
7,C0007,DNI,10660452,Diego,Ninaquispe Romero,,951578320,Miraflores,Pyme,2026-01-08,Av. Grau 2210
8,C0008,CE,54428728,Milagros,Ríos Gutiérrez,milagros8@correo.com,982288857,Ate,Cliente corporativo,2026-04-20,Av. El Sol 2201
9,C0009,RUC,83941431,Paola,Villanueva Ríos,paola9@correo.com,999196964,La Molina,Persona natural,2026-03-04,Av. La Marina 2329
10,C0010,RUC,18809727,Karla,Aguirre Díaz,karla10@correo.com,981693192,Miraflores,Tienda virtual,2026-04-11,Av. Los Pinos 2138
11,C0011,RUC,35688806,Hugo,Cornejo Cárdenas,hugo11@correo.com,981072702,Chorrillos,Pyme,2026-01-24,Av. La Marina 1420
12,C0012,DNI,10281371,Gabriela,Cruz Torres,gabriela12@correo.com,960611326,San Borja,Cliente corporativo,2026-01-24,Av. La Marina 114
13,C0013,DNI,88201466,Óscar,Lévano Chávez,óscar13@correo.com,941624908,San Borja,Persona natural,2026-03-17,Av. Grau 523
14,C0014,RUC,30012477,Ana,Villanueva Torres,ana14@correo.com,915490520,Chorrillos,Tienda virtual,2026-05-05,Av. Los Pinos 1063
15,C0015,DNI,78511874,Paola,Rivera Romero,paola15@correo.com,947012842,Lince,Pyme,2026-05-01,Av. Los Pinos 540
16,C0016,DNI,82930255,Ricardo,Cárdenas Cárdenas,ricardo16@correo.com,926729159,Villa El Salvador,Cliente corporativo,2026-01-16,Av. Brasil 1959
17,C0017,DNI,43440535,Elena,Gutiérrez Ríos,elena17@correo.com,959140520,Comas,Persona natural,2026-03-09,Av. La Marina 1937
18,C0018,DNI,685973,Sofía,Salazar Rojas,sofía18@correo.com,979579627,Los Olivos,Tienda virtual,2026-01-24,Av. El Sol 1976
19,C0019,RUC,27204371,Karla,Paredes Villanueva,karla19@correo.com,963073444,Surco,Pyme,2026-05-20,Av. El Sol 1162
20,C0020,RUC,65564269,Pedro,Ninaquispe Ponce,,929291673,Callao,Cliente corporativo,2026-02-13,Av. Brasil 244
21,C0021,CE,57624091,Diego,Castillo Rivera,diego21@correo.com,959298436,Lince,Persona natural,2026-02-26,Av. La Marina 2002
22,C0022,DNI,41056306,Verónica,Mendoza Mendoza,verónica22@correo.com,930486273,Independencia,Tienda virtual,2026-05-26,Av. La Marina 1677
23,C0023,CE,80285256,Pamela,Torres Bautista,pamela23@correo.com,955693648,Los Olivos,Pyme,2026-03-17,Av. Brasil 1084
24,C0024,CE,27454866,Julia,Espinoza Torres,julia24@correo.com,938537621,Chorrillos,Cliente corporativo,2026-03-15,Av. Los Pinos 593
25,C0025,CE,94879648,Miguel,Zevallos Ponce,miguel25@correo.com,947166450,Ate,Persona natural,2026-05-18,Av. La Marina 1553
26,C0026,DNI,22883949,Renzo,Huamán Torres,renzo26@correo.com,978241082,Surco,Tienda virtual,2026-04-21,Av. El Sol 466
27,C0027,CE,41109888,Jorge,Cornejo Chávez,jorge27@correo.com,943002753,Rímac,Pyme,2026-04-04,Av. El Sol 2035
28,C0028,CE,25152188,Hugo,Cárdenas Ninaquispe,hugo28@correo.com,994462103,Lince,Cliente corporativo,2026-04-04,Av. Grau 1088
29,C0029,DNI,29257348,Bruno,Romero Huamán,bruno29@correo.com,,Villa El Salvador,Persona natural,2026-03-22,Av. La Marina 416
30,C0030,RUC,14327779,Daniela,Cruz Romero,daniela30@correo.com,919171533,San Juan de Lurigancho,Tienda virtual,2026-04-10,Av. El Sol 408
31,C0031,DNI,25200697,Lucía,Díaz Palomino,lucía31@correo.com,943225508,La Molina,Pyme,2026-05-26,Av. La Marina 1554
32,C0032,DNI,91115320,Isabel,Torres Ponce,isabel32@correo.com,918951589,San Juan de Lurigancho,Cliente corporativo,2026-01-28,Av. Los Pinos 757
33,C0033,CE,44821164,Natalia,Aguirre Ninaquispe,natalia33@correo.com,994406086,Miraflores,Persona natural,2026-02-20,Av. Grau 2067
34,C0034,CE,725155,Óscar,Villanueva Díaz,óscar34@correo.com,923165070,Comas,Tienda virtual,2026-05-16,Av. Brasil 1210
35,C0035,RUC,67908951,Raúl,Cárdenas Huamán,raúl35@correo.com,989305513,San Juan de Lurigancho,Pyme,2026-03-18,Av. La Marina 1038
36,C0036,DNI,27124485,Lucía,Flores Palomino,lucía36@correo.com,,Breña,Cliente corporativo,2026-05-19,Av. Los Pinos 1871
37,C0037,DNI,40362846,Óscar,Bautista Mendoza,óscar37@correo.com,982342340,San Borja,Persona natural,2026-02-27,Av. Los Pinos 209
38,C0038,DNI,79274815,Fernando,Castillo Ponce,fernando38@correo.com,948345141,Lince,Tienda virtual,2026-03-05,Av. Grau 525
39,C0039,DNI,23711854,Diego,Salazar Chávez,diego39@correo.com,948964550,Comas,Pyme,2026-03-28,Av. Brasil 1071
40,C0040,DNI,92038772,Jorge,Quispe Flores,jorge40@correo.com,938110503,Rímac,Cliente corporativo,2026-01-07,Av. Grau 691
41,C0041,DNI,218727,Rosa,Ríos Bautista,rosa41@correo.com,963876283,Ate,Persona natural,2026-05-17,Av. Los Pinos 379
