id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,197,4,11,2026-04-09,Agencia,Pendiente,95.00
2,O00002,12,2,12,2026-04-20,Portal empresarial,Completado,703.78
3,O00003,121,4,25,2026-04-27,App LogiExpress,Pendiente,257.80
4,O00004,26,6,11,2026-05-14,Recojo programado,Pendiente,780.00
5,O00005,17,4,20,11/04/2026,Agencia,Completado,325.60
6,O00006,3,3,4,2026-05-23,Portal empresarial,Completado,228.30
7,O00007,122,5,40,01/01/2026,App LogiExpress,Completado,158.21
8,O00008,56,6,1,2026-06-17,Recojo programado,Completado,1299.39
9,O00009,13,4,19,2026-06-25,Agencia,Completado,1688.05
10,O00010,56,3,38,2026-01-24,Portal empresarial,Pendiente,1546.47
11,O00011,162,1,26,2026-01-12,App LogiExpress,Cancelado,830.44
12,O00012,104,2,30,2026-04-22,Recojo programado,Observado,380.00
13,O00013,11,6,17,2026-05-19,Agencia,Pendiente,144.00
14,O00014,9768,1,10,2026-01-24,Portal empresarial,Completado,3394.18
15,O00015,66,3,32,2026-04-20,App LogiExpress,Completado,2227.22
16,O00016,18,4,10,2026-03-25,Recojo programado,Completado,1727.35
17,O00017,88,5,15,2026-06-24,Agencia,Completado,282.66
18,O00018,172,5,18,2026-02-06,Portal empresarial,Completado,1282.22
19,O00019,146,5,34,2026-03-27,App LogiExpress,Pendiente,624.58
20,O00020,179,4,16,2026-03-27,Recojo programado,Completado,1057.16
21,O00021,135,6,,2026-01-19,Agencia,Completado,603.28
22,O00022,128,3,2,2026-04-10,Portal empresarial,Completado,481.06
23,O00023,183,6,10,2026-01-27,App LogiExpress,Pendiente,58.17
24,O00024,58,6,5,17/02/2026,Recojo programado,Completado,1366.42
25,O00025,1,4,1,2026-03-23,Agencia,Completado,1267.59
26,O00026,138,6,24,2026-01-08,Portal empresarial,Pendiente,312.88
27,O00027,28,6,15,2026-01-24,App LogiExpress,Cancelado,156.30
28,O00028,168,2,37,2026-02-09,Recojo programado,Completado,1596.93
29,O00029,98,4,3,2026-06-02,Agencia,Completado,2119.00
30,O00030,188,2,26,2026-02-07,Portal empresarial,Completado,341.05
31,O00031,111,4,10,2026-04-06,App LogiExpress,Completado,960.00
32,O00032,114,2,14,2026-01-24,Recojo programado,Cancelado,204.00
33,O00033,171,5,22,12/02/2026,Agencia,Completado,726.44
34,O00034,126,4,5,2026-03-27,Portal empresarial,Pendiente,260.00
35,O00035,9,2,19,2026-03-22,App LogiExpress,Completado,1712.20
36,O00036,171,4,38,2026-01-03,Recojo programado,Pendiente,809.41
37,O00037,86,3,32,2026-06-28,Agencia,Completado,144.00
38,O00038,27,3,10,2026-01-23,Portal empresarial,Pendiente,163.20
39,O00039,27,1,30,2026-03-12,App LogiExpress,Completado,1090.32
