id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,promedio_notas
1,C0001,DNI,79477928,Sergio,Rojas Villanueva,sergio1@correo.com,998349001,San Miguel,Pregrado,2026-04-19,13.2
2,C0002,RUC,75043239,Patricia,Villanueva Palomino,patricia2@correo.com,989831292,Independencia,Posgrado,2026-02-24,17.7
3,C0003,DNI,28129022,Carlos,Cornejo Salazar,carlos3@correo.com,949764105,Comas,Educación continua,2026-01-18,17.1
4,C0004,DNI,17389193,Raúl,Ponce Torres,,914979495,San Borja,Intercambio,2026-02-05,9.4
5,C0005,CE,25496780,Sergio,Huamán Lévano,sergio5@correo.com,973470436,La Molina,Pregrado,2026-04-18,16.8
6,C0006,DNI,48838894,Elena,Palomino Rivera,elena6@correo.com,946013420,Villa El Salvador,Posgrado,2026-03-11,15.6
7,C0007,DNI,49035554,Diego,Palomino Lévano,diego7@correo.com,957056000,Chorrillos,Educación continua,2026-02-04,12.7
8,C0008,DNI,98799066,Andrés,Zevallos Ramos,andrés8@correo.com,984850818,Surco,Intercambio,2026-02-03,19.3
9,C0009,DNI,45712586,Jorge,Paredes Palomino,jorge9@correo.com,956010077,Miraflores,Pregrado,2026-05-17,12.3
10,C0010,DNI,77857007,Iván,Sánchez Vargas,iván10@correo.com,997460262,Lince,Posgrado,2026-05-20,13.7
11,C0011,DNI,67629361,Melissa,Romero Lévano,melissa11@correo.com,919695383,Chorrillos,Educación continua,2026-03-11,15.2
12,C0012,RUC,21025181,Carlos,Lévano Flores,carlos12@correo.com,977212095,Callao,Intercambio,2026-05-28,13.9
13,C0013,DNI,32848759,Julia,Cornejo Espinoza,,946448784,Rímac,Pregrado,2026-03-15,14.8
14,C0014,DNI,65637863,Víctor,Ponce Ramos,víctor14@correo.com,966062264,La Molina,Posgrado,2026-03-28,15.6
15,C0015,RUC,26508857,Víctor,Quispe Cruz,víctor15@correo.com,926217716,Rímac,Educación continua,2026-03-06,11.3
16,C0016,DNI,20243762,Ana,Chávez Lévano,ana16@correo.com,927269280,Lince,Intercambio,2026-01-10,14.7
17,C0017,DNI,10892488,Carlos,Díaz Zevallos,carlos17@correo.com,934020940,Callao,Pregrado,2026-05-04,13.2
18,C0018,DNI,577543,Carlos,Torres Rojas,carlos18@correo.com,912553883,Lince,Posgrado,2026-02-24,11.2
19,C0019,DNI,48655153,Melissa,Flores Gutiérrez,melissa19@correo.com,980102146,San Borja,Educación continua,2026-05-16,12.4
20,C0020,CE,832288,Melissa,Gutiérrez Romero,melissa20@correo.com,942377544,Chorrillos,Intercambio,2026-05-09,8.9
21,C0021,CE,97310152,Verónica,Flores Paredes,verónica21correo.com,942794974,San Borja,Pregrado,2026-01-27,12.7
22,C0022,DNI,61558537,Álvaro,Flores Ponce,álvaro22@correo.com,918590774,San Juan de Lurigancho,Posgrado,2026-02-22,18.7
23,C0023,DNI,74388603,Melissa,Sánchez Cornejo,melissa23@correo.com,957945915,Independencia,Educación continua,2026-03-13,16.4
24,C0024,DNI,62481216,Daniela,Ninaquispe Espinoza,daniela24@correo.com,924206352,Miraflores,Intercambio,2026-01-03,11.0
25,C0025,RUC,71429788,Daniela,Castillo Huamán,daniela25@correo.com,968438003,San Miguel,Pregrado,2026-04-11,8.5
26,C0026,DNI,74507425,Karla,Quispe Ninaquispe,karla26@correo.com,984319116,Ate,Posgrado,2026-05-22,15.2
27,C0027,DNI,89378644,Rosa,Mendoza Gutiérrez,rosa27@correo.com,942624335,Chorrillos,Educación continua,2026-04-09,13.7
28,C0028,DNI,78878275,Ricardo,Romero Cárdenas,ricardo28@correo.com,921665541,Callao,Intercambio,2026-03-18,9.7
29,C0029,DNI,83586293,Álvaro,Mendoza Romero,álvaro29@correo.com,969816980,Rímac,Pregrado,2026-01-01,12.3
30,C0030,DNI,97504531,Gabriela,Aguirre Sánchez,gabriela30@correo.com,917319426,Callao,Posgrado,2026-05-10,15.4
31,C0031,CE,97246595,Melissa,Ríos Castillo,melissa31@correo.com,991934920,Rímac,Educación continua,2026-03-20,15.0
32,C0032,DNI,89799886,Elena,Espinoza Torres,elena32@correo.com,998054775,Independencia,Intercambio,2026-05-15,19.5
33,C0033,CE,84072312,Andrés,Ninaquispe Ríos,andrés33@correo.com,957708943,Rímac,Pregrado,2026-05-27,19.0
34,C0034,RUC,82749767,Iván,Quispe Palomino,iván34@correo.com,940185301,Chorrillos,Posgrado,2026-01-04,12.6
35,C0035,CE,29479903,Paola,Chávez Romero,paola35@correo.com,930143390,Rímac,Educación continua,2026-04-15,12.2
36,C0036,DNI,54682953,Paola,Ninaquispe Lévano,paola36@correo.com,933683246,La Molina,Intercambio,2026-01-16,11.9
37,C0037,DNI,16810861,Milagros,Chávez Ramos,milagros37@correo.com,924043803,Villa El Salvador,Pregrado,2026-04-11,16.3
38,C0038,DNI,27765092,Miguel,Espinoza Quispe,miguel38@correo.com,939520339,San Borja,Posgrado,2026-03-16,15.3
39,C0039,DNI,59329254,Elena,Gutiérrez Flores,elena39@correo.com,984811158,Villa El Salvador,Educación continua,2026-03-08,9.2
40,C0040,DNI,10772095,Lucía,Cruz Torres,lucía40@correo.com,918416154,Chorrillos,Intercambio,2026-01-23,12.0
41,C0041,CE,38767515,Paola,Vargas Gutiérrez,paola41correo.com,920077055,Chorrillos,Pregrado,2026-05-25,12.1
42,C0042,DNI,16544570,Hugo,Flores Villanueva,hugo42@correo.com,993034896,Ate,Posgrado,2026-03-07,11.7
43,C0043,RUC,20064246,Miguel,Quispe Rojas,miguel43@correo.com,918710813,Los Olivos,Educación continua,2026-03-13,10.2
44,C0044,RUC,96250945,Carlos,Paredes Ramos,carlos44@correo.com,979728776,Chorrillos,Intercambio,2026-01-25,11.7
45,C0045,DNI,91124561,Iván,Sánchez Salazar,iván45@correo.com,970053509,Comas,Pregrado,2026-05-21,8.6
46,C0046,DNI,159994,Ricardo,Quispe Mendoza,ricardo46@correo.com,912391148,Breña,Posgrado,2026-01-03,8.4
47,C0047,RUC,19809994,Milagros,Espinoza Ponce,milagros47@correo.com,942443221,Comas,Educación continua,2026-03-09,19.6
48,C0048,DNI,838469,Karla,Palomino Espinoza,karla48@correo.com,950338533,Villa El Salvador,Intercambio,2026-05-08,15.4
49,C0049,DNI,94908983,Álvaro,Espinoza Villanueva,álvaro49@correo.com,,Breña,Pregrado,2026-03-28,14.2
50,C0050,DNI,33860702,Hugo,Palomino Mendoza,hugo50@correo.com,946407527,San Miguel,Posgrado,2026-03-09,17.7
51,C0051,DNI,47915959,Elena,Romero Huamán,elena51@correo.com,917631571,Callao,Educación continua,2026-01-18,14.1
52,C0052,CE,38216440,Lucía,Salazar Villanueva,lucía52@correo.com,990347216,Villa El Salvador,Intercambio,2026-01-23,16.8
53,C0053,CE,30262794,Hugo,Bautista Bautista,hugo53@correo.com,968850193,Ate,Pregrado,2026-04-12,18.9
54,C0054,DNI,41967237,Karla,Rojas Bautista,karla54@correo.com,993871168,San Juan de Lurigancho,Posgrado,2026-01-25,17.4
55,C0055,RUC,25198754,Bruno,Mendoza Sánchez,bruno55@correo.com,997923816,Chorrillos,Educación continua,2026-05-22,15.7
56,C0056,CE,99300167,Bruno,Ponce Ramos,bruno56@correo.com,997612362,Ate,Intercambio,2026-01-08,8.5
57,C0057,DNI,58452817,Iván,Zevallos Bautista,iván57@correo.com,985124776,La Molina,Pregrado,2026-01-06,13.7
58,C0058,DNI,59146560,Sofía,Rojas Lévano,sofía58correo.com,933257435,San Miguel,Posgrado,2026-05-04,11.1
59,C0059,DNI,21568446,José,Rojas Lévano,,974561384,,Educación continua,2026-05-15,12.3
60,C0060,DNI,81833244,Ricardo,Torres Castillo,ricardo60correo.com,933926275,San Miguel,Intercambio,2026-04-16,11.5
61,C0061,CE,39113682,María,Ríos Chávez,maría61@correo.com,926131723,La Molina,Pregrado,2026-03-08,13.9
62,C0062,DNI,93771449,Daniela,Flores Gutiérrez,daniela62@correo.com,944905677,Breña,Posgrado,2026-03-05,17.2
63,C0063,DNI,23656350,Miguel,Zevallos Ríos,miguel63@correo.com,960873473,Independencia,Educación continua,2026-05-21,17.0
