id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,180,5,4,2026-06-27,Campus,Cancelado,2426.00
2,O00002,169,2,10,2026-05-04,Aula virtual,Cancelado,1982.00
3,O00003,1,1,21,2026-05-01,Portal del estudiante,Observado,4260.00
4,O00004,136,1,16,2026-02-15,Admisión telefónica,Completado,340.00
5,O00005,52,6,6,2026-02-05,Campus,Completado,4996.00
6,O00006,182,4,39,2026-02-20,Aula virtual,Completado,2932.00
7,O00007,180,5,17,2026-06-04,Portal del estudiante,Completado,6988.00
8,O00008,42,6,25,22/06/2026,Admisión telefónica,Completado,11842.00
9,O00009,11,5,37,2026-02-28,Campus,Completado,3532.00
10,O00010,179,1,29,2026-03-05,Aula virtual,Completado,636.00
11,O00011,83,3,2,2026-04-25,Portal del estudiante,Completado,7436.00
12,O00012,50,2,16,2026-06-14,Admisión telefónica,Completado,4180.00
13,O00013,115,1,30,2026-06-16,Campus,Observado,2460.00
14,O00014,107,6,31,2026-05-11,Aula virtual,Completado,1896.00
15,O00015,111,4,33,2026-05-08,Portal del estudiante,Pendiente,960.00
16,O00016,107,6,17,2026-03-07,Admisión telefónica,Completado,848.00
17,O00017,52,5,8,2026-06-16,Campus,Completado,4248.00
18,O00018,187,6,23,2026-06-26,Aula virtual,Completado,4192.00
19,O00019,90,2,30,2026-04-13,Portal del estudiante,Pendiente,4436.00
20,O00020,124,1,2,28/03/2026,Admisión telefónica,Completado,2233.95
21,O00021,62,3,25,22/05/2026,Campus,Completado,4072.04
22,O00022,79,4,20,2026-06-14,Aula virtual,Completado,2432.00
23,O00023,51,3,18,2026-01-20,Portal del estudiante,Pendiente,2580.00
24,O00024,39,2,6,2026-01-15,Admisión telefónica,Completado,9864.00
25,O00025,131,1,23,2026-01-09,Campus,Completado,8700.00
26,O00026,162,4,13,2026-06-07,Aula virtual,Completado,2018.00
27,O00027,48,1,22,2026-03-28,Portal del estudiante,Completado,3080.00
28,O00028,108,1,22,2026-03-14,Admisión telefónica,Cancelado,1080.00
29,O00029,149,6,35,2026-02-24,Campus,Completado,2680.00
30,O00030,88,5,31,2026-03-05,Aula virtual,Observado,8516.00
31,O00031,89,4,37,2026-03-07,Portal del estudiante,Cancelado,6892.00
32,O00032,72,2,28,2026-05-13,Admisión telefónica,Pendiente,180.00
33,O00033,118,2,19,2026-02-14,Campus,Pendiente,2922.00
34,O00034,87,2,2,04/03/2026,Aula virtual,Completado,2480.00
35,O00035,4,6,40,2026-06-21,Portal del estudiante,Completado,1226.00
36,O00036,32,5,4,2026-06-09,Admisión telefónica,Pendiente,5328.00
