id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,tipo_tramite
1,C0001,DNI,85470881,Melissa,Sánchez Ponce,melissa1@correo.com,955408387,La Molina,Vecino,2026-02-17,Constancia
2,C0002,DNI,62708944,Gabriela,Zevallos Palomino,gabriela2@correo.com,934041032,Callao,Comerciante,2026-01-14,Permiso
3,C0003,DNI,99085352,Carlos,Ninaquispe Quispe,,,Lince,Propietario,2026-02-24,Licencia
4,C0004,CE,32331973,Elena,Díaz Quispe,elena4@correo.com,946467224,Los Olivos,Representante legal,2026-05-01,Reclamo
5,C0005,DNI,16884609,Diego,Sánchez Rojas,diego5@correo.com,991943351,Los Olivos,Vecino,2026-02-10,Certificado
6,C0006,RUC,45591950,Ana,Espinoza Ponce,ana6@correo.com,918582836,Los Olivos,Comerciante,2026-05-02,Certificado
7,C0007,RUC,92182678,Claudia,Huamán Ríos,claudia7@correo.com,998388693,Surco,Propietario,2026-02-04,Licencia
8,C0008,DNI,83601236,Gabriela,Villanueva Romero,gabriela8@correo.com,959692333,Miraflores,Representante legal,2026-05-09,Licencia
9,C0009,DNI,50311790,Álvaro,Ponce Díaz,álvaro9@correo.com,963118113,Miraflores,Vecino,2026-02-22,Permiso
10,C0010,DNI,58643108,Víctor,Gutiérrez Romero,víctor10@correo.com,941642202,Rímac,Comerciante,2026-03-03,Partida
11,C0011,CE,67726050,Melissa,Ninaquispe Gutiérrez,melissa11@correo.com,972488709,San Juan de Lurigancho,Propietario,2026-01-16,Licencia
12,C0012,CE,74335356,Isabel,Flores Ponce,isabel12correo.com,916031414,,Representante legal,2026-01-05,Partida
13,C0013,DNI,21429092,Elena,Rivera Bautista,elena13@correo.com,921117785,La Molina,Vecino,2026-03-08,Reclamo
14,C0014,CE,52961709,Óscar,Gutiérrez Espinoza,óscar14@correo.com,937627724,Rímac,Comerciante,2026-01-12,Reclamo
15,C0015,DNI,420568,Julia,Mendoza Ponce,julia15@correo.com,984496628,Miraflores,Propietario,2026-03-08,Licencia
16,C0016,DNI,913935,Sofía,Torres Quispe,sofía16@correo.com,914378988,San Miguel,Representante legal,2026-03-10,Reclamo
17,C0017,RUC,60043618,Carmen,Zevallos Cárdenas,carmen17@correo.com,963437897,Independencia,Vecino,2026-04-21,Permiso
18,C0018,CE,15054600,Diego,Huamán Ramos,diego18@correo.com,941183322,Rímac,Comerciante,2026-05-28,Certificado
19,C0019,DNI,60059225,María,Paredes Mendoza,maría19@correo.com,952659470,La Molina,Propietario,2026-05-18,Constancia
20,C0020,RUC,50779455,Paola,Salazar Huamán,paola20@correo.com,945812658,Surco,Representante legal,2026-02-19,Licencia
21,C0021,CE,90013837,Pamela,Cruz Torres,pamela21@correo.com,951408591,La Molina,Vecino,2026-05-08,Permiso
22,C0022,CE,33945186,María,Sánchez Rojas,maría22@correo.com,971716386,Comas,Comerciante,2026-03-22,Certificado
23,C0023,CE,93589076,Elena,Gutiérrez Ponce,elena23@correo.com,982930266,Comas,Propietario,2026-03-26,Licencia
24,C0024,CE,987916,Gabriela,Palomino Bautista,gabriela24@correo.com,971666650,Independencia,Representante legal,2026-01-04,Licencia
25,C0025,DNI,31962187,Milagros,Paredes Lévano,milagros25@correo.com,953259737,La Molina,Vecino,2026-04-14,Partida
26,C0026,DNI,56741099,Melissa,Torres Mendoza,melissa26@correo.com,952464858,Ate,Comerciante,2026-02-26,Permiso
27,C0027,RUC,42440139,Claudia,Mendoza Paredes,claudia27@correo.com,940515743,La Molina,Propietario,2026-05-11,Licencia
28,C0028,CE,72183292,Fernando,Cárdenas Chávez,fernando28@correo.com,964710424,Ate,Representante legal,2026-03-25,Licencia
29,C0029,DNI,62912469,Lucía,Ríos Chávez,,990714851,Surco,Vecino,2026-05-10,Partida
30,C0030,RUC,23689166,Manuel,Vargas Romero,manuel30@correo.com,915759775,San Miguel,Comerciante,2026-01-07,Certificado
31,C0031,DNI,16613367,Julia,Huamán Cruz,julia31@correo.com,927712992,La Molina,Propietario,2026-04-18,Constancia
32,C0032,CE,70739885,Verónica,Rivera Ríos,verónica32correo.com,920910435,Independencia,Representante legal,2026-04-25,Reclamo
33,C0033,RUC,31531452,Ricardo,Cornejo Quispe,ricardo33@correo.com,961977400,Miraflores,Vecino,2026-03-25,Reclamo
34,C0034,DNI,87849971,Diego,Díaz Rivera,diego34@correo.com,990217830,Miraflores,Comerciante,2026-04-28,Permiso
35,C0035,DNI,99112661,Manuel,Ramos Flores,manuel35@correo.com,971325675,Surco,Propietario,2026-02-19,Licencia
36,C0036,DNI,99865380,Jorge,Sánchez Rivera,jorge36@correo.com,,Surco,Representante legal,2026-04-05,Licencia
37,C0037,DNI,745885,Víctor,Quispe Huamán,víctor37@correo.com,973271939,San Miguel,Vecino,2026-02-11,Reclamo
38,C0038,DNI,77714252,Claudia,Ponce Quispe,claudia38@correo.com,974861152,,Comerciante,2026-04-05,Constancia
39,C0039,DNI,90064737,Fernando,Sánchez Cruz,fernando39@correo.com,965525124,,Propietario,2026-02-17,Partida
40,C0040,CE,72574199,Daniela,Lévano Torres,daniela40@correo.com,957528175,Breña,Representante legal,2026-01-16,Constancia
41,C0041,DNI,19359899,Raúl,Gutiérrez Ninaquispe,raúl41@correo.com,911866165,Surco,Vecino,2026-02-14,Licencia
42,C0042,CE,94276812,Álvaro,Ríos Rojas,álvaro42@correo.com,983972541,Ate,Comerciante,2026-02-26,Certificado
43,C0043,CE,36337749,Elena,Castillo Huamán,elena43@correo.com,963455575,San Juan de Lurigancho,Propietario,2026-01-14,Constancia
44,C0044,DNI,51374427,Ana,Chávez Romero,ana44@correo.com,916811991,San Miguel,Representante legal,2026-01-20,Certificado
45,C0045,CE,31756393,Karla,Gutiérrez Bautista,karla45@correo.com,996373792,Villa El Salvador,Vecino,2026-05-20,Certificado
46,C0046,DNI,44739136,Elena,Paredes Ponce,elena46@correo.com,968228608,San Miguel,Comerciante,2026-04-12,Permiso
47,C0047,DNI,19785646,Pamela,Vargas Castillo,pamela47@correo.com,965286699,Callao,Propietario,2026-03-13,Partida
48,C0048,DNI,81725541,Daniela,Chávez Cárdenas,daniela48@correo.com,942970644,San Borja,Representante legal,2026-02-18,Reclamo
49,C0049,DNI,60540960,Rosa,Ramos Ponce,rosa49@correo.com,960762081,Ate,Vecino,2026-05-05,Partida
50,C0050,RUC,70178580,Diego,Salazar Zevallos,diego50correo.com,971361378,La Molina,Comerciante,2026-05-10,Licencia
51,C0051,DNI,90186857,Julia,Torres Rivera,julia51@correo.com,934059902,Breña,Propietario,2026-04-16,Permiso
52,C0052,DNI,93780655,Iván,Palomino Vargas,iván52@correo.com,970632463,Rímac,Representante legal,2026-04-24,Reclamo
53,C0053,DNI,12674498,María,Rivera Flores,maría53@correo.com,958911977,Callao,Vecino,2026-01-27,Certificado
54,C0054,CE,98202892,Sofía,Bautista Cornejo,,983323960,Callao,Comerciante,2026-01-09,Reclamo
55,C0055,CE,23005218,Daniela,Rivera Flores,daniela55@correo.com,981682878,Surco,Propietario,2026-02-16,Certificado
56,C0056,CE,90531195,Iván,Mendoza Castillo,iván56@correo.com,945011324,Rímac,Representante legal,2026-03-10,Constancia
57,C0057,DNI,63311753,Iván,Rojas Bautista,iván57@correo.com,943255412,San Miguel,Vecino,2026-04-11,Certificado
58,C0058,DNI,20710474,Luis,Bautista Ponce,luis58@correo.com,914781199,Villa El Salvador,Comerciante,2026-03-05,Constancia
59,C0059,DNI,41172341,Gabriela,Gutiérrez Bautista,gabriela59@correo.com,988376134,,Propietario,2026-03-16,Licencia
60,C0060,CE,98653713,Karla,Díaz Torres,karla60@correo.com,964203245,Surco,Representante legal,2026-02-19,Partida
61,C0061,DNI,93474319,Pedro,Cárdenas Zevallos,pedro61@correo.com,948286910,Miraflores,Vecino,2026-03-28,Partida
62,C0062,CE,98139301,Andrés,Ríos Aguirre,andrés62@correo.com,960817807,Ate,Comerciante,2026-02-27,Licencia
63,C0063,DNI,94134196,María,Lévano Cárdenas,maría63@correo.com,945280076,Independencia,Propietario,2026-01-09,Reclamo
64,C0064,DNI,34409281,Pedro,Cárdenas Gutiérrez,pedro64@correo.com,985359074,Independencia,Representante legal,2026-02-13,Licencia
65,C0065,CE,89010466,Patricia,Díaz Flores,patricia65@correo.com,996483681,Breña,Vecino,2026-05-04,Constancia
66,C0066,RUC,68986050,Iván,Cruz Vargas,iván66@correo.com,976355847,Villa El Salvador,Comerciante,2026-04-16,Partida
67,C0067,CE,67132644,Karla,Quispe Díaz,karla67@correo.com,,San Borja,Propietario,2026-02-16,Licencia
68,C0068,DNI,55876478,Carmen,Mendoza Huamán,carmen68@correo.com,982494641,San Miguel,Representante legal,2026-05-05,Permiso
69,C0069,DNI,70364603,Isabel,Espinoza Mendoza,isabel69@correo.com,969785176,Comas,Vecino,2026-03-09,Licencia
70,C0070,RUC,840171,Ricardo,Torres Chávez,ricardo70@correo.com,912011060,San Borja,Comerciante,2026-05-24,Partida
71,C0071,DNI,19987835,Karla,Rojas Romero,karla71@correo.com,991844647,Los Olivos,Propietario,2026-04-16,Permiso
72,C0072,DNI,63819554,Sergio,Quispe Huamán,sergio72@correo.com,933842794,Comas,Representante legal,2026-01-27,Certificado
73,C0073,DNI,65982161,Melissa,Mendoza Mendoza,melissa73@correo.com,987420334,Rímac,Vecino,2026-01-05,Permiso
74,C0074,CE,84215133,Elena,Rivera Ríos,elena74@correo.com,946001993,Lince,Comerciante,2026-02-18,Constancia
75,C0075,DNI,27977864,Óscar,Ponce Flores,óscar75@correo.com,953780702,Villa El Salvador,Propietario,2026-03-16,Licencia
76,C0076,DNI,72751572,Álvaro,Cornejo Vargas,álvaro76@correo.com,983669012,Ate,Representante legal,2026-02-19,Constancia
77,C0077,DNI,454298,Natalia,Cárdenas Cárdenas,natalia77@correo.com,982254453,San Juan de Lurigancho,Vecino,2026-04-01,Reclamo
78,C0078,DNI,28436188,María,Romero Huamán,maría78@correo.com,,Independencia,Comerciante,2026-02-17,Permiso
79,C0079,DNI,84793996,Andrés,Sánchez Flores,,,San Miguel,Propietario,2026-04-01,Certificado
80,C0080,CE,66930461,Claudia,Torres Díaz,claudia80@correo.com,999238628,Lince,Representante legal,2026-02-03,Licencia
81,C0081,RUC,37898425,Hugo,Rivera Quispe,hugo81@correo.com,977304492,San Borja,Vecino,2026-03-02,Reclamo
