id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,4,3,20,2026-05-26,Plataforma municipal,Cancelado,199.00
2,O00002,143,5,14,2026-01-03,Mesa de partes virtual,Pendiente,16.44
3,O00003,173,2,17,2026-06-27,Portal tributario,Completado,793.64
4,O00004,83,2,10,2026-03-16,Centro MAC,Pendiente,4848.92
5,O00005,199,5,31,2026-05-14,Plataforma municipal,Completado,118.32
6,O00006,192,4,35,2026-02-02,Mesa de partes virtual,Pendiente,1028.74
7,O00007,126,3,22,2026-04-12,Portal tributario,Completado,95.00
8,O00008,96,5,24,2026-06-08,Centro MAC,Pendiente,215.80
9,O00009,184,1,23,15/05/2026,Plataforma municipal,Cancelado,1003.86
10,O00010,14,1,20,2026-02-23,Mesa de partes virtual,Pendiente,1343.40
11,O00011,109,4,13,2026-05-20,Portal tributario,Pendiente,1820.00
12,O00012,101,5,29,2026-01-05,Centro MAC,Pendiente,170.00
13,O00013,8,4,5,2026-05-25,Plataforma municipal,Completado,389.22
14,O00014,169,3,33,2026-05-26,Mesa de partes virtual,Completado,268.68
15,O00015,141,4,32,2026-04-16,Portal tributario,Completado,63.88
16,O00016,181,4,33,2026-02-07,Centro MAC,Cancelado,463.60
17,O00017,169,3,25,2026-03-01,Plataforma municipal,Completado,1367.90
18,O00018,23,2,22,2026-05-09,Mesa de partes virtual,Completado,512.80
19,O00019,179,6,7,2026-02-15,Portal tributario,Completado,1803.64
20,O00020,108,5,9,2026-03-10,Centro MAC,Observado,1169.62
21,O00021,61,2,37,2026-06-09,Plataforma municipal,Pendiente,672.00
22,O00022,102,4,21,2026-01-02,Mesa de partes virtual,Completado,1343.40
23,O00023,97,3,12,2026-06-10,Portal tributario,Completado,429.36
24,O00024,108,4,25,2026-02-10,Centro MAC,Pendiente,214.96
25,O00025,8,5,28,2026-04-02,Plataforma municipal,Completado,228.00
26,O00026,92,5,37,2026-06-16,Mesa de partes virtual,Pendiente,1040.44
27,O00027,183,4,38,2026-03-01,Portal tributario,Completado,998.65
28,O00028,69,5,12,2026-01-08,Centro MAC,Completado,1167.20
29,O00029,57,5,34,2026-01-21,Plataforma municipal,Cancelado,388.92
30,O00030,16,1,22,2026-06-08,Mesa de partes virtual,Observado,1708.65
31,O00031,190,2,8,2026-04-17,Portal tributario,Completado,198.48
32,O00032,11,3,37,25/05/2026,Centro MAC,Pendiente,710.19
33,O00033,22,4,34,2026-02-24,Plataforma municipal,Completado,456.00
34,O00034,95,2,17,2026-05-16,Mesa de partes virtual,Cancelado,2229.41
35,O00035,14,3,26,2026-05-19,Portal tributario,Completado,1008.38
36,O00036,181,6,6,2026-05-20,Centro MAC,Observado,515.64
37,O00037,161,6,28,2026-03-13,Plataforma municipal,Pendiente,655.48
38,O00038,73,4,34,2026-04-11,Mesa de partes virtual,Completado,380.00
39,O00039,121,6,23,2026-03-27,Portal tributario,Observado,1515.72
40,O00040,195,5,26,2026-01-08,Centro MAC,Completado,1486.07
41,O00041,174,6,12,2026-01-21,Plataforma municipal,Observado,211.60
42,O00042,190,1,16,2026-03-09,Mesa de partes virtual,Completado,1640.08
43,O00043,134,4,32,2026-04-26,Portal tributario,Completado,2144.64
44,O00044,38,2,7,2026-02-07,Centro MAC,Completado,357.62
45,O00045,32,3,32,2026-04-15,Plataforma municipal,Pendiente,4697.89
46,O00046,192,5,27,2026-01-28,Mesa de partes virtual,Completado,548.88
47,O00047,74,3,10,2026-05-12,Portal tributario,Cancelado,601.80
48,O00048,17,6,21,2026-01-23,Centro MAC,Completado,1601.20
49,O00049,36,4,1,2026-06-23,Plataforma municipal,Completado,0.00
50,O00050,174,5,22,2026-02-05,Mesa de partes virtual,Observado,171.88
51,O00051,148,2,13,2026-04-07,Portal tributario,Pendiente,687.52
52,O00052,147,1,34,2026-05-27,Centro MAC,Completado,114.00
53,O00053,141,6,6,2026-01-01,Plataforma municipal,Completado,806.04
54,O00054,168,2,27,2026-06-22,Mesa de partes virtual,Pendiente,475.00
55,O00055,9580,2,9,2026-02-05,Portal tributario,Completado,831.64
56,O00056,5,4,35,2026-01-02,Centro MAC,Completado,427.80
57,O00057,108,2,13,2026-04-10,Plataforma municipal,Completado,5040.00
