id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,tarjeta_terminacion
1,C0001,RUC,63545017,Milagros,Cruz Quispe,milagros1@correo.com,959799076,Rímac,Comprador nuevo,2026-05-15,****-6452
2,C0002,RUC,89306975,María,Gutiérrez Mendoza,maría2@correo.com,954320331,Surco,Comprador frecuente,2026-03-08,****-9426
3,C0003,DNI,73925330,Claudia,Palomino Aguirre,claudia3correo.com,992706089,Independencia,Cliente premium,2026-05-19,****-2157
4,C0004,DNI,77092193,Paola,Gutiérrez Bautista,paola4@correo.com,974777819,San Miguel,Cuenta empresa,2026-02-10,****-8448
5,C0005,CE,95071367,Andrés,Romero Chávez,andrés5@correo.com,968181878,Rímac,Comprador nuevo,2026-02-05,****-4898
6,C0006,DNI,51559572,Gabriela,Bautista Bautista,gabriela6@correo.com,979280284,Chorrillos,Comprador frecuente,2026-05-01,****-4293
7,C0007,DNI,69526808,Sofía,Cornejo Mendoza,sofía7@correo.com,949665881,Rímac,Cliente premium,2026-03-14,****-1296
8,C0008,DNI,88686468,Andrés,Flores Cruz,andrés8@correo.com,955622143,Callao,Cuenta empresa,2026-04-20,****-6978
9,C0009,CE,20565057,Pamela,Villanueva Vargas,pamela9@correo.com,,San Borja,Comprador nuevo,2026-03-07,****-2281
10,C0010,RUC,54067828,Paola,Ramos Rivera,paola10@correo.com,969118178,Miraflores,Comprador frecuente,2026-02-11,****-7573
11,C0011,DNI,86560051,Daniela,Romero Espinoza,daniela11@correo.com,912664416,Villa El Salvador,Cliente premium,2026-04-20,****-5331
12,C0012,DNI,86387854,Rosa,Cornejo Bautista,rosa12correo.com,942212924,Surco,Cuenta empresa,2026-02-19,****-1877
13,C0013,DNI,57988813,José,Díaz Bautista,josé13@correo.com,932520205,La Molina,Comprador nuevo,2026-05-01,****-5605
14,C0014,DNI,60686196,Carmen,Flores Espinoza,carmen14@correo.com,984838924,Miraflores,Comprador frecuente,2026-02-12,****-5764
15,C0015,DNI,77905027,Melissa,Aguirre Quispe,melissa15@correo.com,956840138,Villa El Salvador,Cliente premium,2026-04-15,****-5673
16,C0016,DNI,41957234,Karla,Cornejo Villanueva,karla16@correo.com,,Chorrillos,Cuenta empresa,2026-02-19,****-4619
17,C0017,CE,82226380,María,Torres Ramos,maría17@correo.com,989626556,Los Olivos,Comprador nuevo,2026-04-23,****-7852
18,C0018,CE,29840437,Fernando,Cruz Quispe,fernando18@correo.com,946148791,Callao,Comprador frecuente,2026-03-17,****-6255
19,C0019,RUC,29717457,Sofía,Ninaquispe Cárdenas,sofía19@correo.com,943263877,Breña,Cliente premium,2026-02-25,****-6753
20,C0020,RUC,77087761,Víctor,Quispe Gutiérrez,víctor20@correo.com,997402793,Ate,Cuenta empresa,2026-01-13,****-7875
21,C0021,DNI,95747199,Patricia,Espinoza Ninaquispe,patricia21@correo.com,,Comas,Comprador nuevo,2026-03-11,****-2614
22,C0022,DNI,15627519,Sofía,Quispe Cruz,sofía22@correo.com,937443364,,Comprador frecuente,2026-01-02,****-8250
23,C0023,DNI,27947614,Isabel,Zevallos Flores,isabel23@correo.com,,Chorrillos,Cliente premium,2026-04-09,****-4426
24,C0024,DNI,334550,Carmen,Chávez Gutiérrez,carmen24@correo.com,966610536,,Cuenta empresa,2026-01-06,****-3755
25,C0025,DNI,25613146,Luis,Aguirre Bautista,luis25@correo.com,924111242,San Miguel,Comprador nuevo,2026-04-22,****-8463
26,C0026,DNI,94194117,Hugo,Salazar Rojas,hugo26@correo.com,955239296,San Borja,Comprador frecuente,2026-02-18,****-4801
27,C0027,DNI,17628761,Sergio,Aguirre Aguirre,sergio27@correo.com,924389531,Surco,Cliente premium,2026-02-02,****-8585
