id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,98,6,6,2026-05-05,Tienda web,Completado,7820.28
2,O00002,194,1,4,2026-04-16,App OnlineMarket,Completado,1304.48
3,O00003,3,5,28,2026-06-01,Marketplace,Completado,2611.32
4,O00004,139,2,31,17/03/2026,Venta telefónica,Completado,446.94
5,O00005,8,6,5,2026-06-09,Tienda web,Completado,1272.48
6,O00006,40,1,6,2026-05-10,App OnlineMarket,Completado,140.00
7,O00007,119,2,31,2026-03-08,Marketplace,Completado,1000.00
8,O00008,88,4,4,2026-01-02,Venta telefónica,Completado,40.00
9,O00009,118,3,23,2026-05-22,Tienda web,Completado,36.00
10,O00010,6,6,9,2026-03-23,App OnlineMarket,Completado,426.13
11,O00011,2,6,34,2026-01-21,Marketplace,Pendiente,2553.22
12,O00012,63,5,26,2026-04-17,Venta telefónica,Pendiente,226.20
13,O00013,161,6,7,23/01/2026,Tienda web,Completado,154.78
14,O00014,176,4,1,2026-04-23,App OnlineMarket,Completado,66.84
15,O00015,164,5,35,2026-03-13,Marketplace,Pendiente,80.50
16,O00016,100,2,7,2026-05-19,Venta telefónica,Cancelado,2144.78
17,O00017,57,5,8,2026-03-20,Tienda web,Completado,3624.91
18,O00018,22,4,30,2026-02-07,App OnlineMarket,Pendiente,2795.80
19,O00019,41,2,31,28/02/2026,Marketplace,Completado,643.90
20,O00020,170,6,,2026-01-06,Venta telefónica,Completado,811.76
21,O00021,79,3,37,2026-03-04,Tienda web,Cancelado,3561.15
22,O00022,84,2,7,2026-04-06,App OnlineMarket,Completado,101.90
23,O00023,137,4,20,2026-02-28,Marketplace,Observado,915.72
24,O00024,35,2,28,2026-05-16,Venta telefónica,Completado,781.86
25,O00025,148,5,4,2026-02-07,Tienda web,Completado,573.36
26,O00026,152,4,34,2026-04-11,App OnlineMarket,Cancelado,5019.96
27,O00027,23,1,8,2026-05-19,Marketplace,Completado,1776.78
28,O00028,96,2,38,2026-02-12,Venta telefónica,Completado,426.28
29,O00029,136,1,22,2026-01-01,Tienda web,Cancelado,1706.96
30,O00030,182,1,2,2026-06-11,App OnlineMarket,Pendiente,1567.60
31,O00031,21,3,12,2026-02-07,Marketplace,Pendiente,172.13
32,O00032,151,6,6,2026-05-13,Venta telefónica,Completado,1260.00
33,O00033,186,3,32,2026-06-09,Tienda web,Completado,2028.64
34,O00034,37,1,34,2026-04-11,App OnlineMarket,Pendiente,80.00
35,O00035,66,6,5,2026-05-17,Marketplace,Completado,39.93
36,O00036,49,3,18,2026-04-03,Venta telefónica,Completado,280.79
37,O00037,103,2,24,2026-05-19,Tienda web,Completado,2837.36
38,O00038,77,3,17,2026-06-19,App OnlineMarket,Cancelado,606.84
39,O00039,139,3,35,2026-03-14,Marketplace,Pendiente,6163.12
40,O00040,84,5,25,2026-01-23,Venta telefónica,Completado,1029.99
41,O00041,117,2,25,2026-03-14,Tienda web,Pendiente,1765.54
42,O00042,156,4,,2026-05-02,App OnlineMarket,Cancelado,566.24
43,O00043,80,5,4,2026-05-21,Marketplace,Completado,139.13
44,O00044,114,2,18,2026-01-25,Venta telefónica,Pendiente,1673.32
45,O00045,9349,2,24,2026-02-28,Tienda web,Completado,3871.12
46,O00046,94,3,26,2026-01-01,App OnlineMarket,Pendiente,229.08
47,O00047,60,2,14,2026-06-09,Marketplace,Completado,1907.62
48,O00048,170,1,4,2026-06-21,Venta telefónica,Completado,2231.97
49,O00049,77,4,37,2026-06-22,Tienda web,Completado,2351.04
50,O00050,127,5,11,2026-04-09,App OnlineMarket,Observado,2487.17
