id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,pais_destino
1,C0001,RUC,76171395,Milagros,Aguirre Cárdenas,milagros1@correo.com,931105562,Breña,Importador,2026-01-12,Países Bajos
2,C0002,DNI,89288015,Hugo,Flores Quispe,hugo2@correo.com,974689307,Comas,Distribuidor,2026-02-07,China
3,C0003,RUC,31361412,Hugo,Ríos Rivera,hugo3@correo.com,926609292,San Miguel,Supermercado,2026-05-20,Chile
4,C0004,DNI,37368986,Verónica,Rivera Ninaquispe,verónica4@correo.com,999184681,Breña,Industria alimentaria,2026-03-11,Países Bajos
5,C0005,DNI,36402687,Miguel,Chávez Mendoza,miguel5correo.com,977016442,Villa El Salvador,Importador,2026-05-21,Alemania
6,C0006,CE,67385475,Lucía,Villanueva Aguirre,lucía6@correo.com,993680150,San Juan de Lurigancho,Distribuidor,2026-05-10,Países Bajos
7,C0007,RUC,21223765,Carlos,Cornejo Espinoza,carlos7@correo.com,984864059,Surco,Supermercado,2026-04-08,Canadá
8,C0008,RUC,53714579,Bruno,Ramos Díaz,bruno8@correo.com,991174591,Los Olivos,Industria alimentaria,2026-02-24,China
9,C0009,CE,61353471,Óscar,Díaz Zevallos,óscar9@correo.com,925196048,Independencia,Importador,2026-03-07,Países Bajos
10,C0010,DNI,13563331,Miguel,Paredes Ponce,miguel10@correo.com,948016840,Callao,Distribuidor,2026-04-20,Canadá
11,C0011,DNI,46337987,Víctor,Lévano Palomino,víctor11@correo.com,915011670,Chorrillos,Supermercado,2026-03-27,Chile
12,C0012,DNI,39908181,Julia,Bautista Quispe,julia12@correo.com,941546789,Chorrillos,Industria alimentaria,2026-04-15,EE.UU.
13,C0013,CE,33702945,Víctor,Ríos Zevallos,víctor13correo.com,969127290,Ate,Importador,2026-02-06,China
14,C0014,CE,15879283,Bruno,Vargas Ninaquispe,bruno14@correo.com,954579180,Independencia,Distribuidor,2026-05-18,Alemania
15,C0015,RUC,45201631,Verónica,Rivera Bautista,verónica15@correo.com,927242630,San Miguel,Supermercado,2026-04-12,Países Bajos
16,C0016,DNI,66618522,María,Cruz Ponce,maría16@correo.com,995002039,,Industria alimentaria,2026-03-23,Países Bajos
17,C0017,DNI,74766444,Renzo,Castillo Espinoza,renzo17@correo.com,954781395,Villa El Salvador,Importador,2026-01-05,Canadá
18,C0018,DNI,64353797,Elena,Gutiérrez Chávez,elena18@correo.com,988952001,Comas,Distribuidor,2026-03-22,China
19,C0019,DNI,15747182,Óscar,Sánchez Gutiérrez,óscar19@correo.com,995288234,,Supermercado,2026-05-21,Países Bajos
20,C0020,CE,66707526,Isabel,Huamán Rivera,isabel20@correo.com,,Comas,Industria alimentaria,2026-02-24,Países Bajos
21,C0021,DNI,63350126,Miguel,Ponce Cruz,miguel21@correo.com,966922077,Callao,Importador,2026-01-05,Alemania
22,C0022,DNI,484571,Óscar,Ríos Ramos,óscar22@correo.com,935626069,San Miguel,Distribuidor,2026-01-05,EE.UU.
23,C0023,RUC,15501050,Julia,Cornejo Huamán,julia23correo.com,963733398,Los Olivos,Supermercado,2026-03-05,Alemania
24,C0024,DNI,197858,Luis,Cárdenas Mendoza,,945210354,Comas,Industria alimentaria,2026-01-01,Alemania
25,C0025,DNI,27670587,Ricardo,Rivera Sánchez,ricardo25@correo.com,977276931,Rímac,Importador,2026-03-03,Chile
26,C0026,DNI,45936796,Manuel,Torres Vargas,manuel26@correo.com,938937517,San Juan de Lurigancho,Distribuidor,2026-03-02,Chile
27,C0027,DNI,92656891,Raúl,Quispe Rivera,raúl27correo.com,934577709,,Supermercado,2026-02-19,China
28,C0028,CE,13811279,Claudia,Torres Ninaquispe,claudia28@correo.com,994541588,Lince,Industria alimentaria,2026-05-19,Países Bajos
