id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,124,1,16,2026-04-23,Contrato exportador,Completado,104.00
2,O00002,102,5,27,2026-06-23,Portal B2B,Completado,359.20
3,O00003,70,6,14,15/04/2026,Orden de compra,Completado,655.00
4,O00004,24,6,32,2026-02-22,Feria internacional,Completado,483.00
5,O00005,139,1,18,2026-04-06,Contrato exportador,Pendiente,225.80
6,O00006,171,3,38,2026-06-17,Portal B2B,Pendiente,36.00
7,O00007,43,3,10,2026-03-11,Orden de compra,Observado,467.35
8,O00008,125,5,12,2026-02-20,Feria internacional,Completado,767.16
9,O00009,102,6,36,2026-05-18,Contrato exportador,Completado,416.40
10,O00010,152,6,5,2026-03-05,Portal B2B,Completado,392.00
11,O00011,33,1,1,2026-03-24,Orden de compra,Completado,171.20
12,O00012,128,4,32,09/06/2026,Feria internacional,Completado,97.20
13,O00013,136,5,30,15/06/2026,Contrato exportador,Completado,465.60
14,O00014,43,2,16,2026-01-28,Portal B2B,Completado,264.00
15,O00015,18,1,1,2026-03-21,Orden de compra,Cancelado,108.00
16,O00016,56,1,36,2026-01-27,Feria internacional,Completado,240.00
17,O00017,19,3,,2026-03-16,Contrato exportador,Completado,262.00
18,O00018,136,4,,2026-02-21,Portal B2B,Completado,542.40
19,O00019,16,2,7,2026-02-23,Orden de compra,Pendiente,472.40
20,O00020,74,6,27,2026-01-17,Feria internacional,Completado,374.00
21,O00021,69,4,27,2026-02-19,Contrato exportador,Cancelado,624.72
22,O00022,25,3,9,2026-05-07,Portal B2B,Completado,176.00
23,O00023,126,2,31,2026-01-11,Orden de compra,Completado,592.00
24,O00024,175,1,10,21/03/2026,Feria internacional,Observado,2427.02
25,O00025,88,4,31,2026-06-21,Contrato exportador,Completado,220.24
26,O00026,44,4,39,2026-02-05,Portal B2B,Completado,239.20
27,O00027,33,6,32,2026-02-17,Orden de compra,Completado,145.20
28,O00028,1,1,32,2026-03-12,Feria internacional,Observado,445.20
29,O00029,61,2,26,2026-04-17,Contrato exportador,Cancelado,148.40
30,O00030,81,3,2,2026-06-24,Portal B2B,Completado,307.20
31,O00031,197,2,23,2026-06-22,Orden de compra,Pendiente,1732.41
32,O00032,129,4,32,2026-02-26,Feria internacional,Observado,727.28
33,O00033,186,5,8,2026-05-03,Contrato exportador,Observado,208.80
34,O00034,131,5,33,2026-05-16,Portal B2B,Completado,292.80
35,O00035,9162,4,25,2026-02-24,Orden de compra,Pendiente,108.00
36,O00036,9212,6,34,2026-01-07,Feria internacional,Completado,186.40
37,O00037,39,4,7,2026-06-16,Contrato exportador,Completado,704.68
38,O00038,99,5,28,2026-02-18,Portal B2B,Completado,204.09
39,O00039,174,3,35,2026-03-19,Orden de compra,Pendiente,74.80
40,O00040,45,3,28,2026-06-01,Feria internacional,Observado,554.00
41,O00041,72,2,18,2026-05-21,Contrato exportador,Completado,327.20
42,O00042,148,5,27,04/05/2026,Portal B2B,Completado,250.40
43,O00043,175,6,30,2026-04-12,Orden de compra,Completado,536.00
44,O00044,139,6,33,2026-03-15,Feria internacional,Completado,226.83
45,O00045,54,3,34,22/01/2026,Contrato exportador,Observado,842.00
46,O00046,168,6,9,2026-04-24,Portal B2B,Completado,312.00
47,O00047,180,5,15,2026-06-26,Orden de compra,Completado,365.60
48,O00048,15,3,11,2026-05-14,Feria internacional,Cancelado,591.90
49,O00049,75,1,28,2026-03-01,Contrato exportador,Completado,341.80
50,O00050,127,1,24,2026-05-20,Portal B2B,Completado,855.64
51,O00051,54,6,32,2026-03-25,Orden de compra,Pendiente,709.60
52,O00052,127,4,39,2026-05-26,Feria internacional,Observado,510.00
53,O00053,31,3,3,2026-04-07,Contrato exportador,Completado,359.60
54,O00054,103,2,28,2026-03-14,Portal B2B,Completado,389.20
55,O00055,80,6,11,2026-02-11,Orden de compra,Completado,216.00
56,O00056,151,2,32,2026-06-21,Feria internacional,Pendiente,394.36
57,O00057,29,1,12,2026-03-15,Contrato exportador,Pendiente,18.00
58,O00058,54,6,29,2026-04-04,Portal B2B,Completado,472.24
59,O00059,29,6,22,2026-05-12,Orden de compra,Completado,207.39
60,O00060,19,2,24,2026-04-09,Feria internacional,Pendiente,280.60
61,O00061,31,1,23,2026-03-22,Contrato exportador,Completado,120.00
62,O00062,114,2,5,2026-06-21,Portal B2B,Completado,562.40
63,O00063,196,6,8,2026-01-03,Orden de compra,Completado,647.44
64,O00064,156,6,15,2026-04-06,Feria internacional,Pendiente,250.80
65,O00065,114,6,7,2026-02-23,Contrato exportador,Cancelado,718.40
66,O00066,4,3,10,2026-02-08,Portal B2B,Completado,118.72
67,O00067,184,5,2,2026-03-23,Orden de compra,Completado,328.00
68,O00068,88,6,7,2026-02-04,Feria internacional,Completado,414.40
69,O00069,8,4,16,2026-06-21,Contrato exportador,Completado,398.00
70,O00070,171,5,5,2026-02-21,Portal B2B,Pendiente,426.40
71,O00071,192,2,14,2026-02-04,Orden de compra,Completado,176.00
72,O00072,152,1,36,2026-01-05,Feria internacional,Pendiente,237.20
73,O00073,168,2,13,2026-03-06,Contrato exportador,Completado,2477.37
74,O00074,130,6,6,17/01/2026,Portal B2B,Pendiente,298.72
75,O00075,10,3,28,2026-01-02,Orden de compra,Cancelado,196.00
76,O00076,44,6,22,2026-01-20,Feria internacional,Completado,210.00
77,O00077,171,2,11,2026-05-24,Contrato exportador,Cancelado,255.20
78,O00078,24,5,,2026-02-24,Portal B2B,Completado,42.00
79,O00079,7,4,,2026-02-23,Orden de compra,Completado,36.00
80,O00080,120,3,22,2026-01-19,Feria internacional,Pendiente,258.00
81,O00081,121,4,17,2026-05-16,Contrato exportador,Completado,312.00
82,O00082,6,1,13,2026-04-12,Portal B2B,Completado,605.66
83,O00083,74,3,17,2026-06-23,Orden de compra,Cancelado,260.00
84,O00084,153,3,31,2026-02-23,Feria internacional,Pendiente,211.20
85,O00085,134,4,26,2026-03-11,Contrato exportador,Completado,588.64
86,O00086,28,1,11,2026-06-07,Portal B2B,Pendiente,-798.54
87,O00087,25,1,35,2026-03-19,Orden de compra,Completado,463.20
88,O00088,169,2,21,2026-03-12,Feria internacional,Pendiente,471.32
89,O00089,103,6,19,2026-06-05,Contrato exportador,Completado,508.00
90,O00090,149,5,25,2026-01-20,Portal B2B,Completado,240.00
91,O00091,30,6,3,2026-05-12,Orden de compra,Completado,3005.34
92,O00092,75,1,27,2026-01-28,Feria internacional,Observado,60.00
93,O00093,185,3,23,2026-06-19,Contrato exportador,Completado,383.37
94,O00094,44,4,30,2026-03-17,Portal B2B,Completado,890.95
95,O00095,133,5,25,2026-01-06,Orden de compra,Pendiente,780.91
96,O00096,103,1,5,2026-05-14,Feria internacional,Pendiente,110.40
97,O00097,35,4,19,2026-05-18,Contrato exportador,Pendiente,1285.18
98,O00098,190,3,37,27/01/2026,Portal B2B,Completado,171.20
99,O00099,170,5,30,2026-05-07,Orden de compra,Completado,577.60
100,O00100,65,2,6,2026-05-23,Feria internacional,Observado,838.00
101,O00101,32,2,10,2026-06-13,Contrato exportador,Pendiente,248.86
102,O00102,32,5,29,2026-04-28,Portal B2B,Completado,360.20
103,O00103,58,2,18,2026-05-06,Orden de compra,Completado,854.00
104,O00104,176,1,6,2026-01-15,Feria internacional,Completado,452.32
105,O00105,130,3,9,21/04/2026,Contrato exportador,Completado,165.60
106,O00106,78,2,38,2026-03-07,Portal B2B,Pendiente,2225.73
107,O00107,46,5,35,2026-01-26,Orden de compra,Completado,140.00
108,O00108,146,2,37,2026-02-22,Feria internacional,Completado,238.72
109,O00109,111,1,7,2026-05-10,Contrato exportador,Pendiente,667.20
110,O00110,52,6,10,2026-03-26,Portal B2B,Pendiente,55.06
111,O00111,23,2,34,2026-04-19,Orden de compra,Pendiente,259.39
112,O00112,128,1,15,2026-06-07,Feria internacional,Completado,572.09
113,O00113,150,5,27,2026-06-14,Contrato exportador,Pendiente,246.40
114,O00114,143,5,31,2026-06-22,Portal B2B,Cancelado,5054.94
115,O00115,75,3,19,2026-06-01,Orden de compra,Completado,141.59
116,O00116,183,4,19,2026-02-18,Feria internacional,Completado,611.20
117,O00117,190,6,14,2026-01-22,Contrato exportador,Completado,22.00
118,O00118,58,6,39,2026-03-05,Portal B2B,Completado,175.20
119,O00119,182,4,6,04/03/2026,Orden de compra,Completado,540.69
120,O00120,49,6,2,2026-04-19,Feria internacional,Pendiente,482.00
121,O00121,59,4,35,2026-05-01,Contrato exportador,Completado,225.96
122,O00122,91,2,33,14/06/2026,Portal B2B,Completado,290.00
123,O00123,182,2,10,2026-03-10,Orden de compra,Completado,354.19
124,O00124,68,1,38,2026-02-12,Feria internacional,Observado,126.00
125,O00125,144,5,20,2026-04-26,Contrato exportador,Completado,277.58
126,O00126,135,2,4,18/05/2026,Portal B2B,Cancelado,339.40
127,O00127,9046,4,14,2026-01-28,Orden de compra,Pendiente,275.60
128,O00128,182,1,2,23/05/2026,Feria internacional,Cancelado,85.60
129,O00129,94,4,26,2026-06-02,Contrato exportador,Completado,548.34
130,O00130,24,2,30,2026-01-03,Portal B2B,Completado,467.80
131,O00131,117,3,30,2026-05-09,Orden de compra,Pendiente,42.00
132,O00132,108,5,30,2026-05-11,Feria internacional,Completado,526.92
133,O00133,171,4,31,2026-06-21,Contrato exportador,Completado,209.36
134,O00134,15,3,20,2026-04-21,Portal B2B,Completado,403.20
135,O00135,8,2,5,2026-06-04,Orden de compra,Pendiente,568.60
136,O00136,185,6,8,2026-06-04,Feria internacional,Pendiente,128.40
137,O00137,179,4,20,2026-01-12,Contrato exportador,Completado,408.00
138,O00138,79,4,29,2026-05-26,Portal B2B,Completado,138.00
139,O00139,128,4,10,2026-04-11,Orden de compra,Completado,736.90
140,O00140,152,4,10,2026-01-20,Feria internacional,Pendiente,243.60
141,O00141,3,4,38,2026-02-09,Contrato exportador,Observado,436.80
142,O00142,87,2,,2026-05-22,Portal B2B,Completado,295.20
143,O00143,28,1,17,2026-02-21,Orden de compra,Observado,1372.17
144,O00144,154,4,2,2026-01-19,Feria internacional,Cancelado,404.00
145,O00145,86,1,35,2026-05-22,Contrato exportador,Cancelado,462.80
146,O00146,43,5,32,2026-01-17,Portal B2B,Pendiente,303.60
147,O00147,104,6,9,2026-06-03,Orden de compra,Completado,16.00
148,O00148,185,4,23,2026-06-03,Feria internacional,Completado,70.40
149,O00149,78,2,30,2026-04-15,Contrato exportador,Completado,260.40
150,O00150,133,4,8,2026-06-22,Portal B2B,Completado,128.00
151,O00151,27,1,28,2026-03-11,Orden de compra,Completado,224.95
152,O00152,196,2,32,2026-02-07,Feria internacional,Completado,570.00
153,O00153,3,2,36,2026-05-19,Contrato exportador,Observado,165.60
154,O00154,33,1,3,2026-04-01,Portal B2B,Completado,225.00
155,O00155,128,4,14,2026-04-06,Orden de compra,Completado,281.18
156,O00156,158,6,28,2026-03-12,Feria internacional,Cancelado,220.20
157,O00157,76,1,8,2026-05-20,Contrato exportador,Completado,576.00
158,O00158,39,3,16,2026-01-01,Portal B2B,Completado,378.32
159,O00159,65,4,24,2026-02-17,Orden de compra,Completado,216.00
160,O00160,82,1,7,2026-03-08,Feria internacional,Completado,283.49
161,O00161,112,5,28,17/06/2026,Contrato exportador,Cancelado,509.20
162,O00162,9209,5,9,2026-03-17,Portal B2B,Cancelado,738.68
163,O00163,152,5,33,2026-04-06,Orden de compra,Completado,566.40
164,O00164,184,3,38,2026-02-18,Feria internacional,Completado,655.00
165,O00165,26,6,11,2026-02-21,Contrato exportador,Completado,2111.08
166,O00166,107,1,25,2026-01-14,Portal B2B,Pendiente,1639.26
167,O00167,6,6,34,2026-03-23,Orden de compra,Pendiente,260.00
168,O00168,110,3,30,2026-01-27,Feria internacional,Completado,267.20
169,O00169,67,3,40,2026-04-26,Contrato exportador,Cancelado,200.40
170,O00170,123,2,24,2026-02-01,Portal B2B,Completado,438.40
171,O00171,169,6,27,2026-03-04,Orden de compra,Cancelado,220.80
172,O00172,183,5,2,2026-01-25,Feria internacional,Completado,390.40
173,O00173,114,1,6,2026-05-15,Contrato exportador,Pendiente,140.80
174,O00174,39,6,15,2026-05-15,Portal B2B,Pendiente,399.60
175,O00175,110,2,10,2026-06-17,Orden de compra,Completado,257.8
176,O00176,157,3,28,13/04/2026,Feria internacional,Cancelado,343.20
177,O00177,59,4,39,2026-02-13,Contrato exportador,Completado,703.78
178,O00178,107,5,9,2026-03-06,Portal B2B,Cancelado,85.80
179,O00179,58,4,6,2026-06-06,Orden de compra,Completado,119.20
180,O00180,6,2,11,2026-03-24,Feria internacional,Completado,186.00
181,O00181,187,2,9,2026-02-15,Contrato exportador,Pendiente,656.49
182,O00182,140,4,34,2026-02-16,Portal B2B,Completado,496.00
183,O00183,58,2,6,2026-05-16,Orden de compra,Pendiente,491.34
184,O00184,166,3,6,2026-05-09,Feria internacional,Completado,300.00
185,O00185,178,2,21,2026-03-11,Contrato exportador,Observado,401.00
186,O00186,44,1,38,2026-04-13,Portal B2B,Completado,120.00
187,O00187,192,5,7,2026-05-17,Orden de compra,Completado,447.20
188,O00188,195,4,30,2026-05-18,Feria internacional,Pendiente,340.80
189,O00189,178,5,35,22/03/2026,Contrato exportador,Observado,232.00
190,O00190,198,2,13,2026-06-03,Portal B2B,Completado,320.00
191,O00191,79,1,10,11/06/2026,Orden de compra,Cancelado,2487.0
192,O00192,63,3,18,2026-02-09,Feria internacional,Observado,584.78
193,O00193,102,3,,2026-05-22,Contrato exportador,Observado,259.20
194,O00194,20,4,13,2026-05-11,Portal B2B,Completado,80.00
195,O00195,57,3,15,04/03/2026,Orden de compra,Pendiente,507.30
196,O00196,122,5,17,2026-06-23,Feria internacional,Cancelado,365.56
197,O00197,23,4,36,2026-05-16,Contrato exportador,Completado,642.43
198,O00198,77,1,5,2026-01-09,Portal B2B,Completado,208.40
199,O00199,79,3,10,2026-03-16,Orden de compra,Cancelado,29.68
200,O00200,120,2,32,2026-06-12,Feria internacional,Completado,252.40
201,O00201,19,1,36,2026-01-25,Contrato exportador,Completado,549.63
202,O00202,167,3,8,07/04/2026,Portal B2B,Completado,620.80
203,O00203,89,4,35,2026-04-24,Orden de compra,Pendiente,28.00
204,O00204,84,4,24,2026-01-02,Feria internacional,Pendiente,43.58
205,O00205,147,4,32,2026-01-07,Contrato exportador,Completado,579.40
206,O00206,164,4,16,2026-03-02,Portal B2B,Completado,195.60
207,O00207,123,1,37,2026-06-09,Orden de compra,Completado,356.58
208,O00208,73,4,17,2026-02-22,Feria internacional,Completado,66.00
209,O00209,118,4,23,2026-04-25,Contrato exportador,Completado,140.80
210,O00210,194,6,21,2026-02-02,Portal B2B,Completado,253.17
211,O00211,119,5,18,2026-01-10,Orden de compra,Completado,101.37
212,O00212,170,6,13,2026-01-15,Feria internacional,Pendiente,521.94
213,O00213,154,2,11,2026-03-19,Contrato exportador,Observado,429.60
214,O00214,17,5,29,2026-01-15,Portal B2B,Completado,202.15
215,O00215,96,3,6,2026-06-19,Orden de compra,Pendiente,129.47
216,O00216,53,3,22,2026-06-16,Feria internacional,Completado,355.00
217,O00217,85,2,19,2026-04-18,Contrato exportador,Completado,348.00
218,O00218,74,4,32,2026-02-22,Portal B2B,Completado,144.00
219,O00219,10,2,32,2026-05-13,Orden de compra,Completado,96.80
220,O00220,16,4,6,2026-04-02,Feria internacional,Cancelado,473.63
221,O00221,35,6,12,2026-03-20,Contrato exportador,Observado,136.80
222,O00222,77,6,40,2026-04-05,Portal B2B,Completado,180.46
223,O00223,152,3,36,2026-02-25,Orden de compra,Completado,330.00
224,O00224,123,6,21,13/04/2026,Feria internacional,Completado,345.20
225,O00225,141,1,40,27/01/2026,Contrato exportador,Completado,215.80
226,O00226,28,2,9,2026-01-16,Portal B2B,Cancelado,513.78
227,O00227,155,5,15,2026-05-25,Orden de compra,Observado,331.20
228,O00228,174,5,8,2026-06-24,Feria internacional,Pendiente,55.20
229,O00229,45,5,25,2026-03-03,Contrato exportador,Completado,462.00
230,O00230,134,1,35,2026-05-04,Portal B2B,Observado,539.80
231,O00231,6,2,26,2026-04-03,Orden de compra,Observado,327.06
232,O00232,106,5,38,2026-06-02,Feria internacional,Completado,82.80
233,O00233,118,3,,2026-03-07,Contrato exportador,Observado,422.58
234,O00234,190,6,15,2026-05-05,Portal B2B,Completado,566.36
235,O00235,81,4,2,2026-02-09,Orden de compra,Cancelado,445.01
236,O00236,170,6,25,2026-01-05,Feria internacional,Completado,68.00
237,O00237,107,3,10,2026-04-01,Contrato exportador,Completado,294.00
238,O00238,126,5,7,2026-04-27,Portal B2B,Completado,121.29
239,O00239,158,1,10,21/04/2026,Orden de compra,Pendiente,453.04
240,O00240,169,2,19,2026-05-14,Feria internacional,Completado,507.18
241,O00241,138,2,,2026-05-14,Contrato exportador,Completado,316.15
242,O00242,117,4,33,2026-04-08,Portal B2B,Completado,206.68
243,O00243,56,6,37,2026-02-12,Orden de compra,Completado,151.20
244,O00244,74,5,16,2026-04-12,Feria internacional,Completado,298.00
245,O00245,98,3,34,2026-01-06,Contrato exportador,Cancelado,218.40
246,O00246,174,3,40,2026-05-25,Portal B2B,Completado,179.77
247,O00247,78,1,18,2026-05-06,Orden de compra,Cancelado,94.40
248,O00248,82,2,7,2026-05-14,Feria internacional,Completado,170.40
249,O00249,132,3,15,2026-06-16,Contrato exportador,Pendiente,251.80
250,O00250,97,1,3,2026-06-06,Portal B2B,Completado,330.40
251,O00251,139,5,9,09/02/2026,Orden de compra,Completado,721.24
252,O00252,31,3,9,2026-05-08,Feria internacional,Observado,386.40
253,O00253,92,4,23,2026-04-27,Contrato exportador,Completado,35.20
254,O00254,81,1,30,2026-01-04,Portal B2B,Completado,192.40
255,O00255,169,2,17,2026-03-17,Orden de compra,Completado,579.40
