id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,consumo_kwh
1,C0001,CE,44053201,Jorge,Castillo Aguirre,jorge1@correo.com,975090873,Lince,Residencial,2026-01-16,605.2
2,C0002,DNI,583154,María,Romero Ramos,maría2@correo.com,998334640,Chorrillos,Comercial,2026-01-04,201.8
3,C0003,RUC,22681036,Daniela,Gutiérrez Mendoza,daniela3@correo.com,945123275,Independencia,Condominio,2026-01-11,499.6
4,C0004,DNI,12296129,Álvaro,Sánchez Bautista,álvaro4@correo.com,937682693,Chorrillos,Industrial,2026-02-25,606.0
5,C0005,RUC,51181657,Ana,Bautista Romero,ana5@correo.com,926424193,,Residencial,2026-03-20,630.1
6,C0006,RUC,83776785,Milagros,Flores Rivera,milagros6@correo.com,965893096,Lince,Comercial,2026-01-09,673.1
7,C0007,DNI,57656638,Lucía,Díaz Ninaquispe,lucía7@correo.com,962309302,Miraflores,Condominio,2026-03-28,395.0
8,C0008,DNI,45482764,Bruno,Chávez Ramos,bruno8@correo.com,976358777,Lince,Industrial,2026-02-07,341.1
9,C0009,DNI,618843,Víctor,Cruz Aguirre,víctor9@correo.com,982558714,Comas,Residencial,2026-01-06,243.2
10,C0010,DNI,40446631,Raúl,Bautista Aguirre,raúl10@correo.com,931342591,Independencia,Comercial,2026-04-04,674.7
11,C0011,DNI,36876444,Julia,Espinoza Ríos,julia11@correo.com,,San Borja,Condominio,2026-05-26,418.9
12,C0012,DNI,20666568,Sofía,Cárdenas Chávez,sofía12@correo.com,988543936,Chorrillos,Industrial,2026-03-28,175.0
13,C0013,DNI,60700933,Daniela,Aguirre Salazar,daniela13@correo.com,989375906,San Miguel,Residencial,2026-04-26,798.8
14,C0014,DNI,81326607,Julia,Rivera Ninaquispe,julia14@correo.com,970153590,Chorrillos,Comercial,2026-05-11,702.2
15,C0015,RUC,91267885,Julia,Gutiérrez Chávez,julia15@correo.com,924047031,La Molina,Condominio,2026-01-03,186.6
16,C0016,RUC,727668,Natalia,Torres Aguirre,natalia16@correo.com,975630351,Villa El Salvador,Industrial,2026-04-08,279.3
17,C0017,DNI,52069202,Carmen,Díaz Villanueva,carmen17@correo.com,,Miraflores,Residencial,2026-01-24,777.0
18,C0018,CE,34809067,Pamela,Rivera Ponce,pamela18@correo.com,965703627,San Miguel,Comercial,2026-03-03,733.6
19,C0019,DNI,29932263,Hugo,Quispe Romero,hugo19@correo.com,981502834,La Molina,Condominio,2026-01-06,223.2
20,C0020,DNI,71602249,Manuel,Ríos Vargas,,974470419,Ate,Industrial,2026-04-18,424.7
21,C0021,RUC,195497,Pamela,Torres Mendoza,pamela21@correo.com,993752983,San Juan de Lurigancho,Residencial,2026-02-03,142.4
22,C0022,CE,45923587,Luis,Bautista Cornejo,luis22@correo.com,983767214,San Borja,Comercial,2026-05-20,112.3
23,C0023,DNI,55585096,Andrés,Palomino Rojas,andrés23@correo.com,995431671,Los Olivos,Condominio,2026-02-20,787.8
24,C0024,DNI,15423274,Hugo,Cruz Huamán,hugo24correo.com,961193245,San Borja,Industrial,2026-01-25,575.4
25,C0025,CE,54131771,Melissa,Villanueva Rivera,melissa25@correo.com,939372997,San Borja,Residencial,2026-03-23,712.2
26,C0026,CE,81718552,Andrés,Mendoza Romero,andrés26@correo.com,971928738,Surco,Comercial,2026-04-04,506.9
27,C0027,DNI,34653869,Bruno,Ríos Gutiérrez,,964986206,Breña,Condominio,2026-05-26,205.4
28,C0028,DNI,79763371,Álvaro,Cruz Ríos,álvaro28@correo.com,969443761,San Juan de Lurigancho,Industrial,2026-02-17,224.7
29,C0029,DNI,48778666,Rosa,Ponce Chávez,rosa29@correo.com,961397504,San Borja,Residencial,2026-01-01,572.9
30,C0030,DNI,71287448,Paola,Salazar Romero,paola30@correo.com,911101234,La Molina,Comercial,2026-04-07,348.2
31,C0031,DNI,14615934,Sergio,Vargas Chávez,sergio31@correo.com,914104555,Ate,Condominio,2026-01-23,281.8
32,C0032,DNI,96925472,Fernando,Salazar Espinoza,fernando32@correo.com,941416620,Independencia,Industrial,2026-05-18,396.8
33,C0033,CE,85901009,Miguel,Bautista Ponce,miguel33@correo.com,995392912,Miraflores,Residencial,2026-03-12,251.7
34,C0034,CE,80107457,Melissa,Ríos Díaz,melissa34@correo.com,928397566,Breña,Comercial,2026-04-18,96.0
35,C0035,DNI,91624578,Hugo,Romero Romero,hugo35@correo.com,923689208,San Juan de Lurigancho,Condominio,2026-02-05,346.0
36,C0036,DNI,61513128,Raúl,Ramos Díaz,,919297896,Ate,Industrial,2026-04-04,82.1
37,C0037,DNI,43773889,Carlos,Castillo Ponce,carlos37@correo.com,997131375,San Miguel,Residencial,2026-02-13,235.8
38,C0038,DNI,22835263,Verónica,Espinoza Torres,verónica38@correo.com,,Rímac,Comercial,2026-04-25,346.6
39,C0039,RUC,63474448,Bruno,Cárdenas Espinoza,bruno39@correo.com,945868849,Miraflores,Condominio,2026-04-04,554.5
40,C0040,RUC,89331747,Pamela,Mendoza Ninaquispe,pamela40@correo.com,930532242,Miraflores,Industrial,2026-05-03,84.6
