id_operacion,codigo_operacion,id_cliente,id_sede,id_empleado,fecha_operacion,canal,estado,monto_total
1,O00001,144,2,16,2026-04-26,Centro de atención,Completado,3295.20
2,O00002,33,5,24,2026-01-01,Portal del cliente,Completado,2552.00
3,O00003,191,1,5,25/06/2026,App EnergyHome,Completado,3035.60
4,O00004,155,2,12,2026-04-19,Visita técnica,Cancelado,4975.60
5,O00005,129,5,9,2026-02-17,Centro de atención,Completado,5000.00
6,O00006,47,5,17,25/03/2026,Portal del cliente,Pendiente,7501.00
7,O00007,12,3,21,11/01/2026,App EnergyHome,Pendiente,810.00
8,O00008,42,1,30,2026-06-24,Visita técnica,Completado,188.80
9,O00009,37,4,18,2026-01-06,Centro de atención,Completado,1115.00
10,O00010,31,2,33,2026-02-19,Portal del cliente,Completado,5988.00
11,O00011,148,6,13,2026-05-22,App EnergyHome,Completado,1556.48
12,O00012,16,1,17,2026-02-23,Visita técnica,Pendiente,672.00
13,O00013,47,1,7,2026-02-25,Centro de atención,Pendiente,1108.00
14,O00014,114,4,25,2026-01-05,Portal del cliente,Completado,3072.00
15,O00015,116,2,3,2026-06-10,App EnergyHome,Completado,5005.00
16,O00016,123,5,34,2026-06-09,Visita técnica,Completado,1440.00
17,O00017,72,4,39,2026-06-20,Centro de atención,Completado,4782.72
18,O00018,183,6,39,2026-05-12,Portal del cliente,Observado,8660.00
19,O00019,33,1,14,2026-06-02,App EnergyHome,Completado,2788.50
20,O00020,87,2,16,2026-01-04,Visita técnica,Cancelado,2637.60
21,O00021,120,3,35,2026-06-11,Centro de atención,Completado,867.57
22,O00022,42,5,40,2026-02-07,Portal del cliente,Completado,3311.60
23,O00023,144,6,20,2026-06-08,App EnergyHome,Pendiente,3244.28
24,O00024,132,4,25,06/03/2026,Visita técnica,Completado,1080.00
25,O00025,132,3,10,2026-05-10,Centro de atención,Completado,1610.17
26,O00026,49,1,6,2026-03-06,Portal del cliente,Completado,2099.10
27,O00027,100,2,35,2026-06-17,App EnergyHome,Pendiente,2088.00
28,O00028,14,6,14,2026-02-10,Visita técnica,Completado,5859.50
29,O00029,187,6,32,2026-04-28,Centro de atención,Completado,1495.10
30,O00030,10,5,26,2026-01-07,Portal del cliente,Cancelado,4166.10
31,O00031,1,6,40,2026-06-26,App EnergyHome,Completado,4486.00
32,O00032,88,6,6,2026-02-11,Visita técnica,Observado,4464.00
33,O00033,45,3,19,2026-04-26,Centro de atención,Completado,1515.88
34,O00034,9,2,13,20/04/2026,Portal del cliente,Completado,1416.00
35,O00035,199,1,10,2026-04-14,App EnergyHome,Completado,1680.00
36,O00036,175,6,21,2026-01-14,Visita técnica,Pendiente,6661.20
37,O00037,123,5,3,2026-04-23,Centro de atención,Pendiente,3691.00
38,O00038,93,5,18,2026-06-03,Portal del cliente,Completado,1543.20
39,O00039,54,5,39,2026-04-13,App EnergyHome,Completado,597.36
40,O00040,79,3,28,2026-06-02,Visita técnica,Completado,3438.00
41,O00041,192,3,8,2026-01-13,Centro de atención,Completado,6343.48
42,O00042,145,6,27,2026-06-08,Portal del cliente,Completado,7564.00
43,O00043,5,6,3,2026-04-12,App EnergyHome,Completado,369.00
44,O00044,142,1,22,2026-01-20,Visita técnica,Completado,2640.00
45,O00045,138,3,2,2026-06-10,Centro de atención,Pendiente,3985.00
46,O00046,198,6,27,13/02/2026,Portal del cliente,Observado,3923.51
47,O00047,177,6,19,2026-01-20,App EnergyHome,Pendiente,1970.00
48,O00048,56,4,13,2026-03-12,Visita técnica,Observado,1445.95
49,O00049,97,4,4,2026-02-16,Centro de atención,Completado,6307.80
50,O00050,72,3,25,2026-03-04,Portal del cliente,Completado,3480.00
51,O00051,74,1,28,2026-05-17,App EnergyHome,Completado,7921.04
52,O00052,132,4,9,2026-03-17,Visita técnica,Completado,4858.72
53,O00053,12,2,20,2026-04-17,Centro de atención,Completado,6930.38
54,O00054,103,4,29,2026-01-25,Portal del cliente,Completado,5861.40
55,O00055,7,4,7,2026-06-03,App EnergyHome,Completado,4191.50
56,O00056,148,6,40,2026-03-24,Visita técnica,Pendiente,3550.20
57,O00057,29,2,35,2026-01-14,Centro de atención,Completado,6674.20
58,O00058,177,5,24,2026-03-17,Portal del cliente,Completado,690.00
59,O00059,30,4,25,2026-03-16,App EnergyHome,Completado,274.20
60,O00060,67,4,1,2026-05-28,Visita técnica,Pendiente,9646.76
61,O00061,117,6,21,2026-03-14,Centro de atención,Observado,5427.57
62,O00062,79,3,39,2026-02-03,Portal del cliente,Completado,432.00
63,O00063,41,6,38,2026-05-11,App EnergyHome,Pendiente,7680.00
64,O00064,173,4,4,2026-05-20,Visita técnica,Completado,2720.38
65,O00065,77,2,6,2026-03-11,Centro de atención,Completado,3446.40
66,O00066,85,6,29,2026-03-22,Portal del cliente,Completado,328.30
67,O00067,150,3,20,2026-03-04,App EnergyHome,Completado,2775.00
68,O00068,54,4,6,2026-03-04,Visita técnica,Pendiente,3641.60
69,O00069,108,5,21,2026-05-24,Centro de atención,Observado,2157.56
70,O00070,110,6,12,2026-03-05,Portal del cliente,Completado,2660.54
71,O00071,43,5,26,2026-02-27,App EnergyHome,Pendiente,1425.60
72,O00072,111,6,21,2026-04-14,Visita técnica,Completado,6765.36
73,O00073,45,1,24,2026-01-10,Centro de atención,Completado,1967.40
74,O00074,23,4,32,2026-01-23,Portal del cliente,Completado,3030.00
75,O00075,11,6,,2026-02-01,App EnergyHome,Completado,3435.62
76,O00076,69,2,30,2026-06-05,Visita técnica,Completado,1676.36
77,O00077,147,6,21,2026-06-01,Centro de atención,Observado,8670.16
78,O00078,10,6,14,2026-05-28,Portal del cliente,Completado,7401.70
79,O00079,189,2,2,2026-04-21,App EnergyHome,Completado,2152.00
80,O00080,13,6,31,2026-06-15,Visita técnica,Pendiente,1921.80
81,O00081,143,1,37,2026-03-13,Centro de atención,Completado,2772.00
82,O00082,115,2,7,2026-06-09,Portal del cliente,Completado,3787.96
83,O00083,173,3,37,2026-04-22,App EnergyHome,Pendiente,3656.48
