id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,monto_asegurado
1,C0001,CE,70681858,Bruno,Ninaquispe Aguirre,,972219597,Comas,Individual,2026-04-09,71064.42
2,C0002,DNI,94270036,Andrés,Torres Sánchez,,964392178,Miraflores,Familiar,2026-02-19,69366.42
3,C0003,DNI,21599002,Luis,Ríos Ponce,luis3@correo.com,931838057,Los Olivos,Pyme,2026-04-06,40965.4
4,C0004,RUC,36651802,Lucía,Cornejo Ninaquispe,lucía4@correo.com,970260310,Villa El Salvador,Corporativo,2026-05-26,119228.63
5,C0005,DNI,76545735,Milagros,Flores Gutiérrez,milagros5@correo.com,967759518,Ate,Individual,2026-01-07,110045.17
6,C0006,DNI,59272523,Patricia,Ramos Espinoza,patricia6@correo.com,,Independencia,Familiar,2026-04-04,62703.86
7,C0007,DNI,22459073,Ricardo,Villanueva Cárdenas,ricardo7correo.com,951997382,Ate,Pyme,2026-05-10,40127.16
8,C0008,DNI,73363635,Álvaro,Cárdenas Vargas,álvaro8@correo.com,929114348,Ate,Corporativo,2026-02-07,83502.64
9,C0009,CE,44090764,Sofía,Salazar Cornejo,sofía9@correo.com,919497342,Callao,Individual,2026-02-26,63737.68
10,C0010,CE,60258276,Hugo,Díaz Lévano,,969764753,Callao,Familiar,2026-05-20,27547.23
11,C0011,DNI,35777213,Milagros,Huamán Cornejo,milagros11@correo.com,930803062,Villa El Salvador,Pyme,2026-05-19,38968.12
12,C0012,DNI,134898,Jorge,Ponce Romero,jorge12@correo.com,941043640,Rímac,Corporativo,2026-04-08,20509.53
13,C0013,RUC,16541084,Rosa,Espinoza Huamán,rosa13@correo.com,959485308,San Miguel,Individual,2026-03-02,59438.68
14,C0014,DNI,25464224,Gabriela,Cornejo Villanueva,gabriela14@correo.com,911592229,Independencia,Familiar,2026-02-18,104777.74
15,C0015,CE,24805268,Carlos,Rivera Ramos,,934885468,Surco,Pyme,2026-04-11,74177.16
16,C0016,CE,29768171,Fernando,Bautista Mendoza,,991481723,Chorrillos,Corporativo,2026-03-24,41530.62
17,C0017,RUC,95033911,Jorge,Chávez Aguirre,jorge17@correo.com,962156920,Comas,Individual,2026-03-02,81053.6
18,C0018,CE,42199194,Jorge,Chávez Ríos,jorge18@correo.com,918834384,Comas,Familiar,2026-05-18,32981.62
19,C0019,DNI,13503928,Luis,Ninaquispe Espinoza,luis19correo.com,979840774,San Juan de Lurigancho,Pyme,2026-05-14,32866.17
20,C0020,DNI,18956469,Fernando,Gutiérrez Gutiérrez,fernando20correo.com,971783278,Callao,Corporativo,2026-03-20,69592.7
21,C0021,RUC,31634054,Víctor,Lévano Sánchez,víctor21@correo.com,,Breña,Individual,2026-05-11,60547.64
22,C0022,RUC,99564919,Iván,Ríos Mendoza,iván22@correo.com,956173195,San Juan de Lurigancho,Familiar,2026-03-10,43702.35
23,C0023,RUC,64495054,Pamela,Ponce Quispe,pamela23@correo.com,,Breña,Pyme,2026-05-24,109640.04
24,C0024,DNI,89372926,Paola,Cárdenas Cruz,,952098001,Chorrillos,Corporativo,2026-03-16,54792.43
25,C0025,DNI,44144694,Ricardo,Palomino Villanueva,ricardo25@correo.com,972689752,Chorrillos,Individual,2026-03-18,19210.75
26,C0026,DNI,76139182,Milagros,Flores Vargas,milagros26@correo.com,970975827,Callao,Familiar,2026-04-12,78171.4
27,C0027,DNI,41181929,Renzo,Cárdenas Aguirre,renzo27@correo.com,945322586,,Pyme,2026-01-03,25410.28
28,C0028,DNI,14786607,Fernando,Ríos Gutiérrez,fernando28@correo.com,952976708,,Corporativo,2026-05-04,105230.93
29,C0029,RUC,98953330,Ana,Gutiérrez Espinoza,ana29@correo.com,961849678,Los Olivos,Individual,2026-04-21,113893.46
30,C0030,CE,55848362,Jorge,Ponce Castillo,jorge30@correo.com,938610849,Callao,Familiar,2026-02-28,98962.1
31,C0031,DNI,91160227,Gabriela,Flores Quispe,gabriela31@correo.com,925768827,Rímac,Pyme,2026-05-03,81308.27
32,C0032,DNI,13085590,Isabel,Lévano Torres,isabel32@correo.com,954465879,Breña,Corporativo,2026-02-06,17529.74
