id_empleado,codigo_empleado,nombres,apellidos,num_documento,cargo,id_sede,correo,sueldo,fecha_ingreso
1,E0001,Julia,Gutiérrez Cruz,58395663,Asesor de seguros,2,julia.gutiérrez@seguros_protege.pe,4450.14,2026-03-05
2,E0002,Isabel,Ponce Bautista,82856691,Analista de siniestros,2,isabel.ponce@seguros_protege.pe,1772.44,2026-01-01
3,E0003,Diego,Aguirre Paredes,19948558,Suscriptor de riesgos,2,diego.aguirre@seguros_protege.pe,5450.96,2026-01-12
4,E0004,Sofía,Chávez Palomino,18286139,Inspector de daños,6,sofía.chávez@seguros_protege.pe,3867.59,2026-03-08
5,E0005,Hugo,Ríos Aguirre,83244752,Ejecutivo de renovaciones,5,hugo.ríos@seguros_protege.pe,3929.81,2026-02-21
6,E0006,Rosa,Rivera Cornejo,98223524,Jefe de oficina,3,rosa.rivera@seguros_protege.pe,5411.64,2026-03-06
7,E0007,Luis,Torres Paredes,43365697,Asesor de seguros,2,luis.torres@seguros_protege.pe,1453.69,2026-01-27
8,E0008,María,Díaz Aguirre,46102932,Analista de siniestros,5,maría.díaz@seguros_protege.pe,5656.51,2026-03-01
9,E0009,Daniela,Gutiérrez Huamán,23515323,Suscriptor de riesgos,6,daniela.gutiérrez@seguros_protege.pe,2723.62,2026-02-13
10,E0010,Andrés,Vargas Zevallos,47956872,Inspector de daños,2,andrés.vargas@seguros_protege.pe,5557.68,2026-01-19
11,E0011,Pedro,Zevallos Ríos,48843505,Ejecutivo de renovaciones,6,pedro.zevallos@seguros_protege.pe,2383.17,2026-03-13
12,E0012,José,Romero Ramos,32711425,Jefe de oficina,3,josé.romero@seguros_protege.pe,6464.74,2026-02-05
13,E0013,Isabel,Ramos Paredes,32676062,Asesor de seguros,6,isabel.ramos@seguros_protege.pe,,2026-02-10
14,E0014,Verónica,Rivera Paredes,65991562,Analista de siniestros,6,verónica.rivera@seguros_protege.pe,2929.27,2026-01-24
15,E0015,Pedro,Rojas Rojas,85011562,Suscriptor de riesgos,6,pedro.rojas@seguros_protege.pe,2960.81,2026-03-03
16,E0016,Jorge,Aguirre Paredes,79183819,Inspector de daños,5,jorge.aguirre@seguros_protege.pe,2538.23,2026-02-14
17,E0017,Óscar,Zevallos Chávez,80855296,Ejecutivo de renovaciones,3,óscar.zevallos@seguros_protege.pe,6280.08,2026-02-16
18,E0018,Pedro,Ponce Flores,80983476,Jefe de oficina,1,pedro.ponce@seguros_protege.pe,5883.12,2026-02-05
19,E0019,Óscar,Flores Cornejo,14705464,Asesor de seguros,2,óscar.flores@seguros_protege.pe,2260.88,2026-02-15
20,E0020,Jorge,Villanueva Espinoza,94427110,Analista de siniestros,1,jorge.villanueva@seguros_protege.pe,1329.03,2026-02-07
21,E0021,Milagros,Cornejo Villanueva,52973492,Suscriptor de riesgos,1,milagros.cornejo@seguros_protege.pe,3203.94,2026-03-06
22,E0022,Ana,Espinoza Cornejo,59997531,Inspector de daños,5,ana.espinoza@seguros_protege.pe,3093.88,2026-01-02
23,E0023,Fernando,Chávez Zevallos,81860929,Ejecutivo de renovaciones,5,fernando.chávez@seguros_protege.pe,,2026-02-08
24,E0024,Víctor,Gutiérrez Flores,69707955,Jefe de oficina,5,víctor.gutiérrez@seguros_protege.pe,,2026-03-28
25,E0025,Raúl,Ponce Paredes,39823389,Asesor de seguros,4,raúl.ponce@seguros_protege.pe,3304.21,2026-01-26
26,E0026,Pamela,Paredes Cornejo,30117387,Analista de siniestros,5,pamela.paredes@seguros_protege.pe,,2026-03-06
27,E0027,Daniela,Torres Zevallos,92295085,Suscriptor de riesgos,6,daniela.torres@seguros_protege.pe,,2026-03-11
28,E0028,Elena,Chávez Sánchez,64465291,Inspector de daños,1,elena.chávez@seguros_protege.pe,6153.87,2026-03-13
29,E0029,Rosa,Cornejo Díaz,50975394,Ejecutivo de renovaciones,2,rosa.cornejo@seguros_protege.pe,5863.83,2026-03-27
30,E0030,Andrés,Flores Flores,57837579,Jefe de oficina,1,andrés.flores@seguros_protege.pe,,2026-02-14
31,E0031,Gabriela,Flores Villanueva,62025364,Asesor de seguros,1,gabriela.flores@seguros_protege.pe,3974.55,2026-01-26
32,E0032,Carmen,Zevallos Salazar,28902997,Analista de siniestros,1,carmen.zevallos@seguros_protege.pe,4757.91,2026-03-12
33,E0033,Sofía,Ramos Flores,10592652,Suscriptor de riesgos,4,sofía.ramos@seguros_protege.pe,3599.15,2026-03-20
34,E0034,Fernando,Zevallos Palomino,22212179,Inspector de daños,4,fernando.zevallos@seguros_protege.pe,4956.39,2026-01-16
35,E0035,Gabriela,Torres Aguirre,20858648,Ejecutivo de renovaciones,1,gabriela.torres@seguros_protege.pe,6148.04,2026-01-01
36,E0036,María,Ninaquispe Espinoza,22773192,Jefe de oficina,5,maría.ninaquispe@seguros_protege.pe,2287.65,2026-01-24
37,E0037,José,Huamán Ramos,34158025,Asesor de seguros,4,josé.huamán@seguros_protege.pe,2567.65,2026-01-01
38,E0038,Verónica,Rivera Villanueva,55607666,Analista de siniestros,2,verónica.rivera@seguros_protege.pe,4085.62,2026-01-19
39,E0039,Luis,Cornejo Ramos,29829209,Suscriptor de riesgos,5,luis.cornejo@seguros_protege.pe,3335.41,2026-01-11
40,E0040,Paola,Villanueva Aguirre,24212282,Inspector de daños,2,paola.villanueva@seguros_protege.pe,6010.05,2026-02-14
