id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,direccion_delivery
1,C0001,DNI,99116779,Raúl,Castillo Bautista,raúl1@correo.com,991710072,Independencia,Cliente de salón,2026-01-25,Av. El Sol 475
2,C0002,DNI,69346457,María,Villanueva Aguirre,maría2@correo.com,983749960,San Juan de Lurigancho,Cliente delivery,2026-03-18,Av. Los Pinos 1798
3,C0003,RUC,20542607,Rosa,Chávez Espinoza,rosa3@correo.com,,Rímac,Cliente frecuente,2026-04-05,Av. Brasil 931
4,C0004,DNI,49135317,Karla,Díaz Cruz,karla4@correo.com,989821369,Chorrillos,Cuenta corporativa,2026-02-05,Av. Grau 1731
5,C0005,DNI,91220950,Karla,Palomino Cruz,karla5@correo.com,950498994,Callao,Cliente de salón,2026-02-12,Av. Brasil 2175
6,C0006,DNI,81748530,Milagros,Ramos Salazar,milagros6@correo.com,951372818,Rímac,Cliente delivery,2026-05-07,Av. La Marina 197
7,C0007,CE,99470943,Melissa,Torres Sánchez,melissa7@correo.com,986766073,Los Olivos,Cliente frecuente,2026-02-23,Av. El Sol 1580
8,C0008,DNI,23922662,Raúl,Ramos Palomino,raúl8@correo.com,,Rímac,Cuenta corporativa,2026-05-15,Av. Los Pinos 1647
9,C0009,CE,55661578,Isabel,Zevallos Quispe,isabel9@correo.com,964838575,Miraflores,Cliente de salón,2026-04-17,Av. El Sol 1231
10,C0010,DNI,84550548,Isabel,Cruz Mendoza,isabel10@correo.com,935124489,San Juan de Lurigancho,Cliente delivery,2026-03-24,Av. El Sol 1607
11,C0011,CE,17671884,Carlos,Flores Zevallos,carlos11@correo.com,976403475,Miraflores,Cliente frecuente,2026-02-28,Av. Brasil 610
12,C0012,RUC,888646,Carmen,Castillo Villanueva,carmen12@correo.com,999098044,Rímac,Cuenta corporativa,2026-05-05,Av. El Sol 2244
13,C0013,RUC,90654843,Iván,Villanueva Chávez,iván13@correo.com,912272374,Chorrillos,Cliente de salón,2026-03-12,Av. Los Pinos 399
14,C0014,RUC,88927439,Renzo,Ramos Vargas,renzo14correo.com,911451017,San Borja,Cliente delivery,2026-05-19,Av. Grau 2066
15,C0015,CE,261851,Pedro,Chávez Rojas,pedro15@correo.com,929277121,La Molina,Cliente frecuente,2026-01-23,Av. El Sol 1163
16,C0016,DNI,71468310,Bruno,Ramos Cárdenas,bruno16@correo.com,953701534,Ate,Cuenta corporativa,2026-03-01,Av. La Marina 1688
17,C0017,DNI,639222,Lucía,Espinoza Bautista,lucía17correo.com,986621010,Breña,Cliente de salón,2026-05-27,Av. El Sol 1475
18,C0018,RUC,93177198,Natalia,Cruz Cornejo,natalia18@correo.com,,Comas,Cliente delivery,2026-02-20,Av. El Sol 1345
19,C0019,DNI,84732604,Raúl,Quispe Quispe,raúl19@correo.com,982243070,San Miguel,Cliente frecuente,2026-05-01,Av. Grau 2065
20,C0020,CE,43277341,Natalia,Ramos Lévano,natalia20@correo.com,985042713,Los Olivos,Cuenta corporativa,2026-03-01,Av. Grau 778
21,C0021,DNI,43248520,Karla,Mendoza Quispe,karla21@correo.com,987956590,Surco,Cliente de salón,2026-03-03,Av. El Sol 2155
22,C0022,RUC,51764483,Paola,Torres Romero,paola22@correo.com,967298844,La Molina,Cliente delivery,2026-02-01,Av. Grau 1218
23,C0023,DNI,85706869,Melissa,Cárdenas Cruz,melissa23@correo.com,967041599,San Borja,Cliente frecuente,2026-01-11,Av. Brasil 1846
24,C0024,RUC,384392,Gabriela,Lévano Rojas,gabriela24@correo.com,965110313,Breña,Cuenta corporativa,2026-02-26,Av. Grau 820
25,C0025,DNI,32324309,Ricardo,Ríos Huamán,ricardo25@correo.com,922295552,Surco,Cliente de salón,2026-05-07,Av. Los Pinos 2342
26,C0026,CE,905844,Daniela,Rivera Sánchez,daniela26@correo.com,,Comas,Cliente delivery,2026-01-04,Av. Grau 671
27,C0027,CE,49781063,Carmen,Rivera Ramos,carmen27@correo.com,965837475,Los Olivos,Cliente frecuente,2026-04-24,Av. Grau 2352
28,C0028,RUC,43772489,Sofía,Espinoza Paredes,sofía28@correo.com,912759893,San Juan de Lurigancho,Cuenta corporativa,2026-04-22,Av. Grau 599
29,C0029,DNI,29665183,María,Ponce Díaz,maría29@correo.com,910345967,,Cliente de salón,2026-05-01,Av. La Marina 1477
30,C0030,DNI,18839834,Hugo,Aguirre Bautista,hugo30@correo.com,945810953,Lince,Cliente delivery,2026-03-24,Av. Grau 2039
31,C0031,RUC,43948318,Verónica,Aguirre Rojas,verónica31@correo.com,916307509,Villa El Salvador,Cliente frecuente,2026-05-23,Av. La Marina 1293
32,C0032,DNI,81552308,Ricardo,Chávez Sánchez,ricardo32correo.com,926981480,,Cuenta corporativa,2026-01-20,Av. La Marina 1237
33,C0033,CE,28364397,Natalia,Bautista Cruz,,989647282,San Miguel,Cliente de salón,2026-01-26,Av. Brasil 2076
