id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,linea_credito
1,C0001,RUC,11253842,Diego,Ninaquispe Palomino,diego1@correo.com,,Ate,Construcción,2026-03-05,22827.59
2,C0002,DNI,45422100,Andrés,Villanueva Vargas,andrés2@correo.com,974003713,Comas,Minería,2026-01-15,23978.74
3,C0003,RUC,59562201,Pedro,Palomino Salazar,pedro3@correo.com,932033087,San Miguel,Industria,2026-04-03,33324.01
4,C0004,DNI,62748152,Víctor,Palomino Torres,víctor4@correo.com,944031848,Chorrillos,Taller asociado,2026-05-01,38458.67
5,C0005,DNI,51672448,Ricardo,Bautista Aguirre,ricardo5@correo.com,955804811,La Molina,Construcción,2026-04-25,15993.87
6,C0006,DNI,98368996,Sergio,Zevallos Bautista,sergio6@correo.com,919216704,,Minería,2026-05-05,9774.03
7,C0007,DNI,36231403,Carlos,Ponce Romero,carlos7@correo.com,949327840,San Borja,Industria,2026-03-08,9288.87
8,C0008,DNI,96666012,Fernando,Bautista Salazar,fernando8@correo.com,954137086,San Borja,Taller asociado,2026-03-08,12514.81
9,C0009,DNI,15192875,Miguel,Ríos Bautista,miguel9@correo.com,944055930,Ate,Construcción,2026-04-13,26482.99
10,C0010,DNI,22204132,Isabel,Ponce Salazar,isabel10@correo.com,,Surco,Minería,2026-01-27,28797.36
11,C0011,CE,27908880,Pedro,Espinoza Lévano,pedro11@correo.com,,San Juan de Lurigancho,Industria,2026-04-07,40044.7
12,C0012,RUC,53257549,Óscar,Lévano Ninaquispe,óscar12@correo.com,952022691,Villa El Salvador,Taller asociado,2026-02-04,30056.34
13,C0013,RUC,29751036,Melissa,Gutiérrez Díaz,melissa13@correo.com,948372424,Surco,Construcción,2026-01-14,23661.99
14,C0014,DNI,96665090,Miguel,Castillo Zevallos,miguel14@correo.com,966335886,Callao,Minería,2026-05-26,33621.97
15,C0015,DNI,10010669,Álvaro,Villanueva Salazar,álvaro15@correo.com,952659790,San Borja,Industria,2026-04-24,37637.57
16,C0016,CE,24677608,Gabriela,Cruz Ponce,gabriela16@correo.com,995205301,Ate,Taller asociado,2026-02-12,991.11
17,C0017,DNI,27308302,Julia,Rojas Rivera,julia17@correo.com,941689081,Lince,Construcción,2026-04-20,23907.7
18,C0018,DNI,22544196,Jorge,Cornejo Vargas,jorge18@correo.com,957893511,Ate,Minería,2026-05-17,26702.68
19,C0019,CE,15573745,Bruno,Paredes Gutiérrez,,956960600,,Industria,2026-03-10,16049.35
20,C0020,DNI,74881293,Hugo,Palomino Bautista,hugo20@correo.com,959395719,San Juan de Lurigancho,Taller asociado,2026-03-17,44138.37
21,C0021,DNI,95889041,Hugo,Espinoza Gutiérrez,hugo21@correo.com,910440464,La Molina,Construcción,2026-04-19,31143.59
22,C0022,DNI,36919636,Daniela,Villanueva Gutiérrez,daniela22@correo.com,956178804,Lince,Minería,2026-01-25,16964.72
23,C0023,DNI,78921157,Sergio,Salazar Torres,sergio23@correo.com,979184758,Ate,Industria,2026-01-24,5282.98
24,C0024,CE,77922291,María,Quispe Torres,maría24@correo.com,947882070,San Borja,Taller asociado,2026-02-08,22398.92
25,C0025,CE,69823680,José,Romero Espinoza,josé25@correo.com,969285671,Rímac,Construcción,2026-04-28,29118.59
26,C0026,DNI,24536379,Sofía,Huamán Ponce,sofía26@correo.com,934584137,Los Olivos,Minería,2026-01-08,35163.93
27,C0027,RUC,81725444,Claudia,Romero Quispe,claudia27@correo.com,981590000,Rímac,Industria,2026-03-03,29893.64
28,C0028,CE,26901620,Óscar,Huamán Romero,óscar28@correo.com,953360843,Rímac,Taller asociado,2026-05-15,29209.22
29,C0029,CE,54705015,Sergio,Chávez Rojas,sergio29@correo.com,956057801,Rímac,Construcción,2026-05-28,20333.39
30,C0030,CE,33903504,Natalia,Ninaquispe Aguirre,natalia30@correo.com,964305918,Los Olivos,Minería,2026-02-03,21780.55
31,C0031,RUC,35956863,Milagros,Sánchez Paredes,milagros31@correo.com,974547483,,Industria,2026-05-26,23801.04
32,C0032,DNI,94817193,Patricia,Quispe Rivera,patricia32correo.com,975247957,La Molina,Taller asociado,2026-04-02,11483.77
33,C0033,CE,29298577,Patricia,Sánchez Palomino,,967418665,Independencia,Construcción,2026-05-13,44684.76
34,C0034,DNI,76099151,Sergio,Salazar Cárdenas,sergio34@correo.com,951554199,Chorrillos,Minería,2026-01-28,33834.51
35,C0035,RUC,18563852,Carlos,Díaz Gutiérrez,carlos35@correo.com,980872521,Independencia,Industria,2026-02-09,37657.04
36,C0036,DNI,79572934,Elena,Aguirre Bautista,elena36correo.com,998943115,Breña,Taller asociado,2026-05-13,40662.22
37,C0037,DNI,20285764,Elena,Romero Espinoza,elena37@correo.com,995857942,Chorrillos,Construcción,2026-03-19,29616.39
38,C0038,DNI,97497258,Lucía,Palomino Vargas,lucía38@correo.com,967836289,Rímac,Minería,2026-01-08,12941.18
39,C0039,DNI,58956090,Sergio,Gutiérrez Sánchez,sergio39@correo.com,978552467,La Molina,Industria,2026-05-23,18211.83
40,C0040,CE,50795143,Melissa,Espinoza Villanueva,melissa40@correo.com,958187070,Callao,Taller asociado,2026-01-24,36340.73
41,C0041,DNI,32961315,Gabriela,Chávez Salazar,gabriela41@correo.com,953484018,Breña,Construcción,2026-01-14,10235.92
42,C0042,CE,66544369,Gabriela,Espinoza Rivera,gabriela42@correo.com,977471660,Los Olivos,Minería,2026-05-16,5735.13
43,C0043,DNI,72711548,José,Flores Ninaquispe,josé43@correo.com,918301900,Surco,Industria,2026-05-17,41482.5
44,C0044,CE,72617798,Ana,Lévano Sánchez,ana44@correo.com,931093449,San Juan de Lurigancho,Taller asociado,2026-05-16,28330.77
45,C0045,RUC,44893507,Ricardo,Cornejo Gutiérrez,ricardo45correo.com,913891747,San Miguel,Construcción,2026-05-15,1519.15
46,C0046,DNI,58173953,Sergio,Mendoza Aguirre,sergio46@correo.com,915736850,Villa El Salvador,Minería,2026-03-24,43401.38
47,C0047,CE,41119005,Claudia,Quispe Gutiérrez,claudia47@correo.com,955648968,Callao,Industria,2026-04-10,13359.22
48,C0048,DNI,75984355,Carlos,Ramos Vargas,carlos48@correo.com,921916233,Callao,Taller asociado,2026-02-22,18265.48
49,C0049,DNI,251701,Álvaro,Ramos Paredes,álvaro49@correo.com,954042212,Comas,Construcción,2026-01-25,41527.38
50,C0050,CE,44050651,Lucía,Cruz Aguirre,lucía50@correo.com,953172010,Surco,Minería,2026-03-06,18746.67
51,C0051,CE,53350327,Lucía,Sánchez Zevallos,lucía51@correo.com,968124173,Villa El Salvador,Industria,2026-04-28,7189.43
52,C0052,CE,40827303,Diego,Ramos Aguirre,,949462723,La Molina,Taller asociado,2026-01-24,8118.61
53,C0053,DNI,57870084,Ana,Lévano Villanueva,ana53@correo.com,993219052,Callao,Construcción,2026-03-26,31974.8
54,C0054,RUC,91940624,Luis,Cruz Rivera,luis54@correo.com,934767430,Surco,Minería,2026-02-27,10240.9
55,C0055,DNI,53923508,Andrés,Cornejo Sánchez,andrés55correo.com,976822328,,Industria,2026-05-06,6737.13
56,C0056,DNI,217140,Rosa,Díaz Chávez,rosa56@correo.com,,Rímac,Taller asociado,2026-05-02,17360.62
57,C0057,CE,63666636,Elena,Rojas Palomino,elena57@correo.com,935403130,Los Olivos,Construcción,2026-04-12,16974.25
58,C0058,CE,69654472,Luis,Aguirre Castillo,luis58@correo.com,991138771,Breña,Minería,2026-05-22,36377.55
59,C0059,DNI,384250,Daniela,Cárdenas Aguirre,,,Villa El Salvador,Industria,2026-05-22,31468.0
60,C0060,DNI,79991862,Isabel,Bautista Ríos,isabel60@correo.com,936182156,Surco,Taller asociado,2026-03-10,21255.29
61,C0061,CE,59438142,Gabriela,Ramos Paredes,gabriela61@correo.com,919214245,Ate,Construcción,2026-03-24,1189.11
62,C0062,DNI,73331220,Daniela,Lévano Huamán,daniela62@correo.com,938726367,Lince,Minería,2026-01-11,30307.84
63,C0063,DNI,41118337,María,Bautista Lévano,maría63@correo.com,978031646,San Juan de Lurigancho,Industria,2026-04-17,22192.48
64,C0064,DNI,47235774,Diego,Rojas Torres,diego64@correo.com,988633624,Los Olivos,Taller asociado,2026-03-18,17003.7
65,C0065,CE,87559334,Manuel,Romero Salazar,manuel65@correo.com,936217873,Independencia,Construcción,2026-04-02,1903.66
