id_cliente,codigo_cliente,tipo_documento,num_documento,nombres,apellidos,correo,telefono,distrito,segmento,fecha_registro,numero_linea
1,C0001,CE,51157423,Ricardo,Espinoza Huamán,ricardo1@correo.com,974424711,San Juan de Lurigancho,Prepago,2026-05-12,978403694
2,C0002,DNI,11717732,Sergio,Ramos Rojas,sergio2@correo.com,990182503,Breña,Postpago,2026-03-13,962171111
3,C0003,DNI,51593883,Melissa,Vargas Huamán,melissa3@correo.com,915999502,San Juan de Lurigancho,Hogar,2026-04-24,950474387
4,C0004,DNI,456031,Bruno,Quispe Rivera,bruno4@correo.com,991008104,Villa El Salvador,Empresa,2026-02-21,940347963
5,C0005,DNI,75818338,Sergio,Chávez Mendoza,sergio5@correo.com,915282857,San Borja,Prepago,2026-04-05,985832900
6,C0006,DNI,86546807,María,Aguirre Ponce,maría6@correo.com,939400885,Surco,Postpago,2026-04-28,916854000
7,C0007,CE,76705252,María,Chávez Gutiérrez,maría7@correo.com,930352258,Independencia,Hogar,2026-05-02,940954758
8,C0008,CE,45058480,Natalia,Palomino Huamán,natalia8@correo.com,957261071,La Molina,Empresa,2026-04-28,978883130
9,C0009,CE,53876831,Patricia,Paredes Sánchez,patricia9@correo.com,982829215,San Borja,Prepago,2026-02-28,934562064
10,C0010,DNI,73008580,Natalia,Rivera Paredes,natalia10correo.com,,,Postpago,2026-04-25,926989233
11,C0011,DNI,83766353,Víctor,Sánchez Flores,víctor11@correo.com,918570649,San Miguel,Hogar,2026-04-23,936280220
12,C0012,DNI,28803308,Jorge,Paredes Ramos,jorge12@correo.com,958533877,Rímac,Empresa,2026-03-16,974424585
13,C0013,DNI,84192952,Pedro,Rojas Ramos,pedro13@correo.com,945528845,Independencia,Prepago,2026-02-21,948571605
14,C0014,CE,76919846,Lucía,Aguirre Ponce,lucía14@correo.com,994296273,Chorrillos,Postpago,2026-05-05,970078005
15,C0015,DNI,81936803,Bruno,Ninaquispe Espinoza,bruno15@correo.com,915922951,La Molina,Hogar,2026-04-23,953197005
16,C0016,RUC,28267197,Raúl,Ramos Ninaquispe,raúl16@correo.com,,Surco,Empresa,2026-05-06,914450191
17,C0017,DNI,20581425,Jorge,Chávez Ponce,jorge17@correo.com,987230603,Independencia,Prepago,2026-02-03,939013684
18,C0018,CE,92238403,Paola,Rivera Torres,paola18@correo.com,952961324,Miraflores,Postpago,2026-05-24,927480566
19,C0019,RUC,45824122,Claudia,Lévano Mendoza,claudia19@correo.com,935410417,San Borja,Hogar,2026-04-05,993624001
20,C0020,DNI,86945009,Sergio,Rojas Ríos,sergio20@correo.com,942083151,Miraflores,Empresa,2026-04-15,993112262
21,C0021,DNI,65296575,Luis,Mendoza Mendoza,luis21@correo.com,988323652,San Juan de Lurigancho,Prepago,2026-01-10,942502080
22,C0022,DNI,87257333,Carlos,Huamán Palomino,carlos22@correo.com,961735235,Los Olivos,Postpago,2026-02-02,913905098
23,C0023,DNI,98980660,Fernando,Torres Romero,fernando23@correo.com,995735418,Lince,Hogar,2026-01-13,990130062
24,C0024,DNI,21072997,Ricardo,Castillo Cornejo,ricardo24@correo.com,974118695,,Empresa,2026-05-13,953267565
25,C0025,DNI,53418373,Patricia,Cárdenas Ponce,patricia25@correo.com,966564263,Surco,Prepago,2026-03-09,992270601
26,C0026,DNI,86959489,Karla,Ramos Espinoza,karla26@correo.com,962938250,Surco,Postpago,2026-01-19,978974724
27,C0027,DNI,14043272,Carlos,Cárdenas Cornejo,carlos27@correo.com,937230416,Villa El Salvador,Hogar,2026-03-05,994063547
28,C0028,DNI,38675074,Manuel,Espinoza Salazar,manuel28@correo.com,929793859,San Miguel,Empresa,2026-02-01,964847820
29,C0029,RUC,10171507,María,Espinoza Zevallos,maría29@correo.com,932805155,La Molina,Prepago,2026-05-28,919410223
30,C0030,CE,41977498,José,Zevallos Rivera,josé30@correo.com,917703029,San Borja,Postpago,2026-03-02,949792099
31,C0031,RUC,11097856,María,Díaz Gutiérrez,maría31@correo.com,954152810,Villa El Salvador,Hogar,2026-05-10,963943879
32,C0032,DNI,570179,Bruno,Ninaquispe Quispe,bruno32@correo.com,975483978,Ate,Empresa,2026-01-28,953625524
33,C0033,DNI,22078635,Karla,Ponce Chávez,karla33@correo.com,991868784,Los Olivos,Prepago,2026-05-06,912765159
34,C0034,CE,43636588,Patricia,Mendoza Chávez,patricia34@correo.com,987249695,Ate,Postpago,2026-02-09,943663024
35,C0035,CE,19948864,Fernando,Aguirre Vargas,fernando35@correo.com,,,Hogar,2026-01-16,920276981
36,C0036,DNI,84505057,Raúl,Rivera Quispe,raúl36@correo.com,923153868,Lince,Empresa,2026-03-16,944473469
37,C0037,DNI,927692,Fernando,Cruz Quispe,fernando37@correo.com,965097278,Villa El Salvador,Prepago,2026-04-13,942839344
38,C0038,RUC,80231104,Pedro,Chávez Espinoza,pedro38@correo.com,912914838,Rímac,Postpago,2026-04-04,985868568
39,C0039,DNI,52116568,Natalia,Ponce Torres,natalia39@correo.com,930972581,Chorrillos,Hogar,2026-04-26,943132511
40,C0040,DNI,91135785,María,Díaz Villanueva,maría40@correo.com,954232781,Villa El Salvador,Empresa,2026-02-28,929209349
41,C0041,DNI,86332419,Claudia,Vargas Bautista,claudia41@correo.com,960647787,Ate,Prepago,2026-05-04,974772857
42,C0042,DNI,43319871,Hugo,Torres Cornejo,hugo42@correo.com,976882242,Villa El Salvador,Postpago,2026-01-08,999764456
43,C0043,DNI,18336838,Ricardo,Vargas Rojas,ricardo43@correo.com,933115888,Lince,Hogar,2026-01-19,969155146
44,C0044,DNI,52593622,María,Zevallos Cornejo,maría44@correo.com,,La Molina,Empresa,2026-03-15,912022670
45,C0045,DNI,27189944,Manuel,Rojas Cruz,,993973211,Breña,Prepago,2026-04-15,999939366
46,C0046,DNI,26363359,Víctor,Palomino Zevallos,víctor46correo.com,967984792,Villa El Salvador,Postpago,2026-01-05,980109622
47,C0047,DNI,70696721,Andrés,Aguirre Ramos,andrés47@correo.com,968528370,Surco,Hogar,2026-03-13,992464796
48,C0048,DNI,67149964,Carmen,Espinoza Torres,carmen48@correo.com,925814175,Rímac,Empresa,2026-04-07,967007937
49,C0049,DNI,62022943,Pedro,Ríos Ramos,pedro49@correo.com,962556333,Surco,Prepago,2026-03-24,911353503
50,C0050,RUC,47837900,Fernando,Chávez Romero,fernando50@correo.com,917518202,Callao,Postpago,2026-03-23,914430134
51,C0051,DNI,23032888,Rosa,Chávez Castillo,rosa51@correo.com,965504195,Independencia,Hogar,2026-02-18,929309527
52,C0052,DNI,10976178,Ricardo,Díaz Cornejo,ricardo52@correo.com,952727818,Chorrillos,Empresa,2026-03-12,945868299
53,C0053,RUC,84707193,Julia,Rojas Quispe,julia53@correo.com,969070139,Los Olivos,Prepago,2026-02-20,913659078
54,C0054,DNI,19395738,Isabel,Díaz Rivera,isabel54@correo.com,968631205,San Borja,Postpago,2026-04-16,955122901
55,C0055,RUC,58468055,Hugo,Ramos Rojas,hugo55@correo.com,992131375,San Miguel,Hogar,2026-01-13,960447316
56,C0056,DNI,88707926,Pamela,Castillo Sánchez,pamela56@correo.com,986608869,San Juan de Lurigancho,Empresa,2026-05-05,974062451
57,C0057,RUC,76248301,Álvaro,Rojas Rojas,álvaro57correo.com,912062925,Comas,Prepago,2026-02-11,983885048
58,C0058,DNI,22722546,Sergio,Ramos Paredes,sergio58@correo.com,922915135,Rímac,Postpago,2026-03-22,934957919
59,C0059,DNI,51506997,Pamela,Díaz Ríos,pamela59@correo.com,984507129,Comas,Hogar,2026-01-01,997353354
60,C0060,DNI,40155112,Iván,Mendoza Bautista,iván60correo.com,932967231,Independencia,Empresa,2026-03-17,924976069
61,C0061,DNI,63144000,Hugo,Ramos Torres,hugo61@correo.com,,San Miguel,Prepago,2026-05-28,998827431
62,C0062,DNI,82901038,Isabel,Ríos Flores,,938556375,San Borja,Postpago,2026-05-21,994933240
63,C0063,RUC,33893184,Sofía,Cruz Rojas,sofía63@correo.com,954473612,Independencia,Hogar,2026-03-16,979488921
64,C0064,CE,67729937,Natalia,Vargas Paredes,natalia64@correo.com,958154444,Chorrillos,Empresa,2026-04-25,956374490
65,C0065,DNI,92059615,Jorge,Aguirre Vargas,jorge65@correo.com,935468070,Los Olivos,Prepago,2026-02-24,913546788
66,C0066,DNI,98684726,Claudia,Salazar Rivera,claudia66@correo.com,940307593,Los Olivos,Postpago,2026-01-20,911616052
67,C0067,RUC,51869848,Sergio,Aguirre Chávez,sergio67@correo.com,972478812,Ate,Hogar,2026-03-11,989441186
68,C0068,RUC,95871430,Verónica,Cárdenas Rojas,verónica68@correo.com,922156227,Chorrillos,Empresa,2026-03-18,912091405
69,C0069,DNI,14535110,María,Gutiérrez Quispe,maría69@correo.com,919482080,Lince,Prepago,2026-02-07,933398952
70,C0070,DNI,519075,Paola,Paredes Espinoza,paola70@correo.com,921362338,Callao,Postpago,2026-05-24,970746388
71,C0071,DNI,38826002,Carmen,Flores Aguirre,carmen71@correo.com,929107863,San Miguel,Hogar,2026-05-10,925037433
72,C0072,DNI,77119473,Carlos,Rojas Sánchez,carlos72@correo.com,910102616,Surco,Empresa,2026-03-17,954746704
73,C0073,CE,91330981,Verónica,Villanueva Aguirre,verónica73@correo.com,969645185,Breña,Prepago,2026-05-08,951229928
74,C0074,DNI,20484083,Andrés,Cárdenas Gutiérrez,andrés74@correo.com,937437244,Rímac,Postpago,2026-02-07,982712342
75,C0075,DNI,52992285,Manuel,Mendoza Gutiérrez,manuel75@correo.com,983048537,La Molina,Hogar,2026-05-01,923673404
76,C0076,DNI,11213331,Diego,Sánchez Villanueva,diego76@correo.com,956122568,Miraflores,Empresa,2026-02-05,931185426
77,C0077,CE,85419574,Carmen,Huamán Espinoza,,975373754,Callao,Prepago,2026-04-15,953838898
78,C0078,DNI,19392414,Jorge,Ponce Bautista,jorge78@correo.com,986598317,Callao,Postpago,2026-01-08,960494196
79,C0079,CE,88434204,Sergio,Romero Villanueva,sergio79@correo.com,,San Miguel,Hogar,2026-01-10,937157316
80,C0080,DNI,42863061,Iván,Ponce Villanueva,iván80@correo.com,973357464,Comas,Empresa,2026-05-27,988860418
81,C0081,DNI,66781648,Patricia,Rivera Rojas,patricia81@correo.com,969616392,,Prepago,2026-05-04,910643155
82,C0082,RUC,31102867,Patricia,Romero Zevallos,patricia82@correo.com,925281438,Rímac,Postpago,2026-01-03,952746801
83,C0083,CE,63562954,Natalia,Aguirre Villanueva,natalia83@correo.com,976335313,La Molina,Hogar,2026-02-09,977056508
84,C0084,CE,91649609,Ana,Sánchez Quispe,ana84correo.com,992266137,La Molina,Empresa,2026-02-23,925812760
85,C0085,DNI,93150897,Jorge,Romero Romero,jorge85@correo.com,945152434,Los Olivos,Prepago,2026-03-03,915698825
86,C0086,DNI,70919893,Claudia,Ramos Gutiérrez,claudia86@correo.com,953330868,Surco,Postpago,2026-03-12,987723688
87,C0087,DNI,18795786,Karla,Castillo Lévano,karla87@correo.com,978117513,San Juan de Lurigancho,Hogar,2026-03-24,978806889
88,C0088,RUC,19016385,Rosa,Espinoza Rojas,rosa88correo.com,965121705,La Molina,Empresa,2026-01-19,954392306
89,C0089,RUC,21403102,Óscar,Espinoza Bautista,óscar89@correo.com,974246194,San Juan de Lurigancho,Prepago,2026-03-21,989835822
90,C0090,DNI,27656790,Carmen,Sánchez Gutiérrez,,,Breña,Postpago,2026-02-27,972835616
